name	nbCladesAll	nbCladesSpec	cladesAll	cladesSpec
KR073423	1	1	1A	1A
KR073457	1	1	1A	1A
KR073469	1	1	1A	1A
KR073474	1	1	1A	1A
KR073362	1	1	1A	1A
KR073377	1	1	1A	1A
KR073385	1	1	1A	1A
KR073339	1	1	1A	1A
KR073347	1	1	1A	1A
KR073354	1	1	1A	1A
KR073330	1	1	1A	1A
KR073331	1	1	1A	1A
KR073345	1	1	1A	1A
KR073366	1	1	1A	1A
KR073341	1	1	1A	1A
KR073327	1	1	1A	1A
KR073344	1	1	1A	1A
KR073367	1	1	1A	1A
KR073329	1	1	1A	1A
KR073389	1	1	1A	1A
KR073405	1	1	1A	1A
KR073444	1	1	1A	1A
KR073428	1	1	1A	1A
KR073447	1	1	1A	1A
KR073431	1	1	1A	1A
CY153426	1	1	1A	1A
FJ766845	1	1	1A	1A
FJ766840	1	1	1A	1A
KM654797	1	1	1A	1A
KM654821	1	1	1A	1A
KT223798	1	1	1A	1A
MG830596	1	1	1A	1A
MH136053	1	1	V1A	V1A
MH362849	1	1	V1A	V1A
MK771860	1	1	1A	1A
MK858091	1	1	1A	1A
MH584154	1	1	1A	1A
MH606729	1	1	1A	1A
MK898341	1	1	V1A	V1A
MH705789	1	1	V1A	V1A
CY244187	1	1	V1A	V1A
MG916705	1	1	V1A	V1A
MH706077	1	1	V1A	V1A
MH706085	1	1	V1A	V1A
MH706125	1	1	V1A	V1A
MH706165	1	1	V1A	V1A
MF673492	1	1	V1A	V1A
MH706405	1	1	V1A	V1A
MH706421	1	1	V1A	V1A
CY244420	1	1	V1A	V1A
CY234947	1	1	V1A	V1A
CY244426	1	1	V1A	V1A
CY244444	1	1	V1A	V1A
MH705757	1	1	V1A	V1A
CY244321	1	1	V1A	V1A
CY244328	1	1	V1A	V1A
MK867962	1	1	V1A	V1A
MK380225	1	1	V1A	V1A
MG916713	1	1	V1A	V1A
MH705997	1	1	V1A	V1A
MH706245	1	1	V1A	V1A
MG916801	1	1	V1A	V1A
MH706469	1	1	V1A	V1A
MK445348	1	1	V1A	V1A
MF673495	1	1	V1A	V1A
MH705765	1	1	V1A	V1A
MH706253	1	1	V1A	V1A
MH706229	1	1	V1A	V1A
MK469045	1	1	V1A	V1A
MK898357	1	1	V1A	V1A
MN073851	1	1	V1A	V1A
MK960076	1	1	V1A	V1A
MH885154	1	1	V1A	V1A
MH885121	1	1	V1A	V1A
MK911774	1	1	V1A	V1A
MK911817	1	1	V1A	V1A
MN169092	1	1	V1A	V1A
MN073889	1	1	V1A	V1A
MN169100	1	1	V1A	V1A
MH706325	1	1	V1A	V1A
MH706613	1	1	V1A	V1A
MK469047	1	1	V1A	V1A
MH885134	1	1	V1A	V1A
MK469051	1	1	V1A	V1A
MK742924	1	1	V1A	V1A
MK445369	1	1	V1A	V1A
MK960077	1	1	V1A	V1A
MH885161	1	1	V1A	V1A
MN169054	1	1	V1A	V1A
MK960103	1	1	V1A	V1A
MK576194	1	1	V1A	V1A
CY244319	1	1	V1A	V1A
MH292852	1	1	V1A	V1A
CY244150	1	1	V1A	V1A
CY244367	1	1	V1A	V1A
MH706149	1	1	V1A	V1A
MH705685	1	1	V1A	V1A
MK898308	1	1	V1A	V1A
MK380239	1	1	V1A	V1A
MK380245	1	1	V1A	V1A
MH705741	1	1	V1A	V1A
MH705885	1	1	V1A	V1A
MH705709	1	1	V1A	V1A
MH706437	1	1	V1A	V1A
MH706045	1	1	V1A	V1A
MK576170	1	1	V1A	V1A
MK576162	1	1	V1A	V1A
MK576148	1	1	V1A	V1A
MK839238	1	1	V1A	V1A
MN169058	1	1	V1A	V1A
MH706157	1	1	V1A	V1A
MK380232	1	1	V1A	V1A
MK469382	1	1	V1A	V1A
MK762725	1	1	V1A	V1A
MK469050	1	1	V1A	V1A
MK445682	1	1	V1A	V1A
MG925824	1	1	V1A	V1A
KT854109	1	1	V1A	V1A
KT853725	1	1	V1A	V1A
KT854015	1	1	V1A	V1A
KT854125	1	1	V1A	V1A
KX003150	1	1	V1A	V1A
KU592394	1	1	V1A	V1A
KU592210	1	1	V1A	V1A
KY125949	1	1	V1A	V1A
CY208486	1	1	V1A	V1A
MH292850	1	1	V1A	V1A
CY235000	1	1	V1A	V1A
KT853682	1	1	V1A	V1A
KX002936	1	1	V1A	V1A
KT854059	1	1	V1A	V1A
CY194046	1	1	V1A	V1A
CY208158	1	1	V1A	V1A
KY125944	1	1	V1A	V1A
CY194088	1	1	V1A	V1A
KX002402	1	1	V1A	V1A
KT853755	1	1	V1A	V1A
KT853975	1	1	V1A	V1A
KT853717	1	1	V1A	V1A
KT853691	1	1	V1A	V1A
CY193858	1	1	V1A	V1A
CY194103	1	1	V1A	V1A
KX003239	1	1	V1A	V1A
CY208496	1	1	V1A	V1A
KT853836	1	1	V1A	V1A
KX002576	1	1	V1A	V1A
KX002372	1	1	V1A	V1A
CY193860	1	1	V1A	V1A
KX002472	1	1	V1A	V1A
KX002480	1	1	V1A	V1A
KT853907	1	1	V1A	V1A
KT853837	1	1	V1A	V1A
KT853709	1	1	V1A	V1A
KU592378	1	1	V1A	V1A
KU592386	1	1	V1A	V1A
CY210146	1	1	V1A	V1A
CY208274	1	1	V1A	V1A
CY208490	1	1	V1A	V1A
CY209907	1	1	V1A	V1A
KX003163	1	1	V1A	V1A
KX003187	1	1	V1A	V1A
KT313441	1	1	V1A	V1A
KT374351	1	1	V1A	V1A
KT854084	1	1	V1A	V1A
KX003184	1	1	V1A	V1A
KX002546	1	1	V1A	V1A
MF195873	1	1	V1A	V1A
KT853795	1	1	V1A	V1A
KT313444	1	1	V1A	V1A
KT853791	1	1	V1A	V1A
CY210076	1	1	V1A	V1A
CY194054	1	1	V1A	V1A
MF195911	1	1	V1A	V1A
KX602171	1	1	V1A	V1A
KY090556	1	1	V1A	V1A
CY210142	1	1	V1A	V1A
KT853621	1	1	V1A	V1A
KX002651	1	1	V1A	V1A
KY125913	1	1	V1A	V1A
CY194079	1	1	V1A	V1A
CY210138	1	1	V1A	V1A
KU592338	1	1	V1A	V1A
MF195747	1	1	V1A	V1A
MF195978	1	1	V1A	V1A
MF195770	1	1	V1A	V1A
KU592330	1	1	V1A	V1A
KU592298	1	1	V1A	V1A
MF195969	1	1	V1A	V1A
MF195975	1	1	V1A	V1A
CY209900	1	1	V1A	V1A
CY209901	1	1	V1A	V1A
CY208216	1	1	V1A	V1A
CY208324	1	1	V1A	V1A
CY208481	1	1	V1A	V1A
MF195750	1	1	V1A	V1A
CY194116	1	1	V1A	V1A
KY042665	1	1	V1A	V1A
KY125911	1	1	V1A	V1A
KY095079	1	1	V1A	V1A
KY095090	1	1	V1A	V1A
KY125955	1	1	V1A	V1A
CY244446	1	1	V1A	V1A
MF195924	1	1	V1A	V1A
MF195934	1	1	V1A	V1A
MF195940	1	1	V1A	V1A
MF195945	1	1	V1A	V1A
MF195955	1	1	V1A	V1A
MF195962	1	1	V1A	V1A
CY244460	1	1	V1A	V1A
CY244461	1	1	V1A	V1A
CY208493	1	1	V1A	V1A
CY209823	1	1	V1A	V1A
CY209826	1	1	V1A	V1A
CY208502	1	1	V1A	V1A
KY125932	1	1	V1A	V1A
MF195930	1	1	V1A	V1A
KY653923	1	1	V1A	V1A
KY095104	1	1	V1A	V1A
MK969531	1	1	V1A	V1A
MK969181	1	1	V1A	V1A
CY209887	1	1	V1A	V1A
CY208328	1	1	V1A	V1A
CY210160	1	1	V1A	V1A
KY125931	1	1	V1A	V1A
KY125956	1	1	V1A	V1A
KY125957	1	1	V1A	V1A
CY244327	1	1	V1A	V1A
CY208488	1	1	V1A	V1A
CY209821	1	1	V1A	V1A
CY209902	1	1	V1A	V1A
CY210086	1	1	V1A	V1A
MK969523	1	1	V1A	V1A
MF195960	1	1	V1A	V1A
KY125912	1	1	V1A	V1A
MF195977	1	1	V1A	V1A
CY210137	1	1	V1A	V1A
MF195964	1	1	V1A	V1A
MF195938	1	1	V1A	V1A
CY210090	1	1	V1A	V1A
KY095069	1	1	V1A	V1A
CY244415	1	1	V1A	V1A
CY262909	1	1	V1A	V1A
CY262845	1	1	V1A	V1A
CY210141	1	1	V1A	V1A
KY095068	1	1	V1A	V1A
CY244143	1	1	V1A	V1A
MK961697	1	1	V1A	V1A
CY210154	1	1	V1A	V1A
MF195864	1	1	V1A	V1A
KX602173	1	1	V1A	V1A
KX602174	1	1	V1A	V1A
KX602177	1	1	V1A	V1A
KT853733	1	1	V1A	V1A
KY095097	1	1	V1A	V1A
KY125953	1	1	V1A	V1A
KY125954	1	1	V1A	V1A
CY244419	1	1	V1A	V1A
CY234950	1	1	V1A	V1A
CY210152	1	1	V1A	V1A
CY234901	1	1	V1A	V1A
CY234949	1	1	V1A	V1A
CY244456	1	1	V1A	V1A
CY235002	1	1	V1A	V1A
CY244151	1	1	V1A	V1A
CY244465	1	1	V1A	V1A
MF195947	1	1	V1A	V1A
MF195954	1	1	V1A	V1A
MF195959	1	1	V1A	V1A
MG279359	1	1	V1A	V1A
KX518706	1	1	V1A	V1A
MH748675	1	1	V1A	V1A
MF195967	1	1	V1A	V1A
CY244450	1	1	V1A	V1A
KY125934	1	1	V1A	V1A
KY095085	1	1	V1A	V1A
CY210071	1	1	V1A	V1A
CY209810	1	1	V1A	V1A
KX602175	1	1	V1A	V1A
CY234902	1	1	V1A	V1A
CY244195	1	1	V1A	V1A
CY243988	1	1	V1A	V1A
KY125946	1	1	V1A	V1A
CY208400	1	1	V1A	V1A
CY209806	1	1	V1A	V1A
CY209808	1	1	V1A	V1A
CY235035	1	1	V1A	V1A
KY095070	1	1	V1A	V1A
KY095080	1	1	V1A	V1A
KY095082	1	1	V1A	V1A
MF195979	1	1	V1A	V1A
MF195990	1	1	V1A	V1A
MF195952	1	1	V1A	V1A
MF195963	1	1	V1A	V1A
CY210095	1	1	V1A	V1A
CY208220	1	1	V1A	V1A
MF195956	1	1	V1A	V1A
MF195953	1	1	V1A	V1A
MF195907	1	1	V1A	V1A
MG279375	1	1	V1A	V1A
KT853765	1	1	V1A	V1A
CY208139	1	1	V1A	V1A
KT853983	1	1	V1A	V1A
CY210156	1	1	V1A	V1A
CY208269	1	1	V1A	V1A
CY210091	1	1	V1A	V1A
CY244436	1	1	V1A	V1A
CY243922	1	1	V1A	V1A
CY244462	1	1	V1A	V1A
KX518703	1	1	V1A	V1A
CY209818	1	1	V1A	V1A
KY273070	1	1	V1A	V1A
KY273068	1	1	V1A	V1A
MK961665	1	1	V1A	V1A
MK961856	1	1	V1A	V1A
MK961864	1	1	V1A	V1A
CY243412	1	1	V1A	V1A
MK961609	1	1	V1A	V1A
MK961458	1	1	V1A	V1A
CY263816	1	1	V1A	V1A
CY243332	1	1	V1A	V1A
CY208329	1	1	V1A	V1A
KY095103	1	1	V1A	V1A
CY209809	1	1	V1A	V1A
CY210151	1	1	V1A	V1A
MF673490	1	1	V1A	V1A
CY244421	1	1	V1A	V1A
KU592306	1	1	V1A	V1A
KU592218	1	1	V1A	V1A
CY210145	1	1	V1A	V1A
CY244329	1	1	V1A	V1A
MN154129	1	1	V1A	V1A
MH292853	1	1	V1A	V1A
KY095092	1	1	V1A	V1A
MF195756	1	1	V1A	V1A
MF195896	1	1	V1A	V1A
KY125948	1	1	V1A	V1A
CY209816	1	1	V1A	V1A
CY210083	1	1	V1A	V1A
CY210084	1	1	V1A	V1A
CY244310	1	1	V1A	V1A
MG916697	1	1	V1A	V1A
MG916737	1	1	V1A	V1A
MH705653	1	1	V1A	V1A
MK380511	1	1	V1A	V1A
MH706309	1	1	V1A	V1A
MH705669	1	1	V1A	V1A
MH705677	1	1	V1A	V1A
MH706117	1	1	V1A	V1A
MH706189	1	1	V1A	V1A
MF182536	1	1	V1A	V1A
MH705877	1	1	V1A	V1A
MF182539	1	1	V1A	V1A
MF673494	1	1	V1A	V1A
MH706413	1	1	V1A	V1A
MG995029	1	1	V1A	V1A
MG995028	1	1	V1A	V1A
MG279383	1	1	V1A	V1A
MK742890	1	1	V1A	V1A
MK911801	1	1	V1A	V1A
MK911772	1	1	V1A	V1A
MK911809	1	1	V1A	V1A
MN073852	1	1	V1A	V1A
MN073873	1	1	V1A	V1A
MN073881	1	1	V1A	V1A
MN080965	1	1	V1A	V1A
MN073897	1	1	V1A	V1A
MN080936	1	1	V1A	V1A
MK380006	1	1	V1A	V1A
MN245887	1	1	V1A	V1A
MN080973	1	1	V1A	V1A
MK911773	1	1	V1A	V1A
MN154131	1	1	V1A	V1A
MN154132	1	1	V1A	V1A
MN073865	1	1	V1A	V1A
MN080932	1	1	V1A	V1A
MK947004	1	1	V1A	V1A
MN080981	1	1	V1A	V1A
MN245871	1	1	V1A	V1A
MK946983	1	1	V1A	V1A
MN154134	1	1	V1A	V1A
MF195745	1	1	V1A	V1A
MF195996	1	1	V1A	V1A
MF195748	1	1	V1A	V1A
MF195794	1	1	V1A	V1A
MF195994	1	1	V1A	V1A
MF196040	1	1	V1A	V1A
MF196073	1	1	V1A	V1A
MF195884	1	1	V1A	V1A
MF196048	1	1	V1A	V1A
MF196025	1	1	V1A	V1A
MF196028	1	1	V1A	V1A
MF196066	1	1	V1A	V1A
MF195970	1	1	V1A	V1A
MF195986	1	1	V1A	V1A
MF195993	1	1	V1A	V1A
MF196032	1	1	V1A	V1A
MF196036	1	1	V1A	V1A
MF196060	1	1	V1A	V1A
MF195858	1	1	V1A	V1A
MF195995	1	1	V1A	V1A
MF196041	1	1	V1A	V1A
MF196059	1	1	V1A	V1A
MF196062	1	1	V1A	V1A
MF195880	1	1	V1A	V1A
MF196083	1	1	V1A	V1A
MF195923	1	1	V1A	V1A
MF195937	1	1	V1A	V1A
MF196012	1	1	V1A	V1A
MF195841	1	1	V1A	V1A
MF195891	1	1	V1A	V1A
MF196054	1	1	V1A	V1A
MF196078	1	1	V1A	V1A
MF195867	1	1	V1A	V1A
MF195965	1	1	V1A	V1A
MF195761	1	1	V1A	V1A
MF195763	1	1	V1A	V1A
MF195909	1	1	V1A	V1A
MF196018	1	1	V1A	V1A
MF195972	1	1	V1A	V1A
MF195860	1	1	V1A	V1A
MF195870	1	1	V1A	V1A
MF195871	1	1	V1A	V1A
MF195883	1	1	V1A	V1A
MF195832	1	1	V1A	V1A
MF195898	1	1	V1A	V1A
MF195746	1	1	V1A	V1A
MF195768	1	1	V1A	V1A
MF196090	1	1	V1A	V1A
MF195790	1	1	V1A	V1A
MF195780	1	1	V1A	V1A
MF195815	1	1	V1A	V1A
MF196039	1	1	V1A	V1A
MF195892	1	1	V1A	V1A
MF195910	1	1	V1A	V1A
MF195913	1	1	V1A	V1A
MF195755	1	1	V1A	V1A
MF195865	1	1	V1A	V1A
MF195749	1	1	V1A	V1A
MF195752	1	1	V1A	V1A
MF195759	1	1	V1A	V1A
MF195762	1	1	V1A	V1A
MF195767	1	1	V1A	V1A
MF195776	1	1	V1A	V1A
MF195779	1	1	V1A	V1A
MF195908	1	1	V1A	V1A
MF195753	1	1	V1A	V1A
MF195757	1	1	V1A	V1A
MF195769	1	1	V1A	V1A
MF195771	1	1	V1A	V1A
MF195800	1	1	V1A	V1A
MF196023	1	1	V1A	V1A
MF195861	1	1	V1A	V1A
MF195917	1	1	V1A	V1A
MF196016	1	1	V1A	V1A
MF195852	1	1	V1A	V1A
MF195758	1	1	V1A	V1A
MF195813	1	1	V1A	V1A
MF195808	1	1	V1A	V1A
MF195899	1	1	V1A	V1A
MF196050	1	1	V1A	V1A
MF195834	1	1	V1A	V1A
MF195823	1	1	V1A	V1A
MF195840	1	1	V1A	V1A
MF195890	1	1	V1A	V1A
MF195905	1	1	V1A	V1A
MF195819	1	1	V1A	V1A
MF195838	1	1	V1A	V1A
MF195843	1	1	V1A	V1A
MF195828	1	1	V1A	V1A
MF195957	1	1	V1A	V1A
MF195792	1	1	V1A	V1A
MF196017	1	1	V1A	V1A
MF196042	1	1	V1A	V1A
MF195889	1	1	V1A	V1A
MF196089	1	1	V1A	V1A
MF195844	1	1	V1A	V1A
MF195760	1	1	V1A	V1A
MF195809	1	1	V1A	V1A
MF195765	1	1	V1A	V1A
MF195781	1	1	V1A	V1A
MF195796	1	1	V1A	V1A
MF195786	1	1	V1A	V1A
MF195801	1	1	V1A	V1A
MF195814	1	1	V1A	V1A
MF195775	1	1	V1A	V1A
MF195817	1	1	V1A	V1A
MF195773	1	1	V1A	V1A
MF195795	1	1	V1A	V1A
MF195806	1	1	V1A	V1A
MF195782	1	1	V1A	V1A
MF195802	1	1	V1A	V1A
MF195784	1	1	V1A	V1A
MF195783	1	1	V1A	V1A
MF195803	1	1	V1A	V1A
MF195805	1	1	V1A	V1A
MF195807	1	1	V1A	V1A
MF195798	1	1	V1A	V1A
MF195774	1	1	V1A	V1A
MF195788	1	1	V1A	V1A
MF195791	1	1	V1A	V1A
MF195799	1	1	V1A	V1A
MF195830	1	1	V1A	V1A
MF195887	1	1	V1A	V1A
MF195901	1	1	V1A	V1A
MF195818	1	1	V1A	V1A
MF195772	1	1	V1A	V1A
MF195879	1	1	V1A	V1A
MF195893	1	1	V1A	V1A
MF195918	1	1	V1A	V1A
MF195839	1	1	V1A	V1A
MF195897	1	1	V1A	V1A
MF195904	1	1	V1A	V1A
MF195826	1	1	V1A	V1A
MF195833	1	1	V1A	V1A
MF195831	1	1	V1A	V1A
MF195948	1	1	V1A	V1A
MF195825	1	1	V1A	V1A
MF195900	1	1	V1A	V1A
KX518704	1	1	V1A	V1A
MK969321	1	1	V1A	V1A
MK969501	1	1	V1A	V1A
MK961387	1	1	V1A	V1A
MK961800	1	1	V1A	V1A
CY262869	1	1	1A	1A
CY208027	1	1	1A	1A
MF195842	1	1	V1A	V1A
CY242627	1	1	V1A	V1A
CY250460	1	1	V1A	V1A
KX920184	1	1	1A	1A
KX007658	1	1	V1A	V1A
KX614708	1	1	V1A	V1A
CY209733	1	1	V1A	V1A
CY238094	1	1	V1A	V1A
CY231352	1	1	V1A	V1A
CY232106	1	1	1A	1A
CY231384	1	1	V1A	V1A
CY232784	1	1	V1A	V1A
CY212290	1	1	V1A	V1A
KX612460	1	1	1A	1A
KX612020	1	1	1A	1A
KX919992	1	1	1A	1A
KX613303	1	1	1A	1A
KX616110	1	1	1A	1A
KX617350	1	1	1A	1A
KX611972	1	1	1A	1A
KX616582	1	1	1A	1A
KX922240	1	1	1A	1A
KX615038	1	1	1A	1A
KX006935	1	1	1A	1A
KX617038	1	1	1A	1A
MK379998	1	1	V1A	V1A
MK742908	1	1	V1A	V1A
MK911778	1	1	V1A	V1A
MK554900	1	1	1A	1A
MK554911	1	1	1A	1A
MK630551	1	1	1A	1A
MN086102	1	1	1A	1A
MN230153	1	1	1A	1A
KT819408	1	1	V1A	V1A
CY208116	1	1	V1A	V1A
MH675548	1	1	V1A	V1A
MH675551	1	1	V1A	V1A
MH675550	1	1	V1A	V1A
MH675549	1	1	V1A	V1A
MH675839	1	1	V1A	V1A
MH703065	1	1	1A	1A
JQ396198	1	1	1A	1A
JQ396201	1	1	1A	1A
JQ396202	1	1	1A	1A
JQ396203	1	1	1A	1A
JQ396206	1	1	1A	1A
JQ396205	1	1	1A	1A
JQ396211	1	1	1A	1A
JQ396199	1	1	1A	1A
JQ396212	1	1	1A	1A
JQ396200	1	1	1A	1A
KF612214	1	1	1A	1A
KF612213	1	1	1A	1A
KF612212	1	1	1A	1A
JQ396209	1	1	1A	1A
JQ396210	1	1	1A	1A
JQ396204	1	1	1A	1A
JQ396208	1	1	1A	1A
JQ396207	1	1	1A	1A
KC020373	1	1	1A	1A
KC020381	1	1	1A	1A
KC020374	1	1	1A	1A
JX513118	1	1	1A	1A
JX513046	1	1	1A	1A
KC020383	1	1	1A	1A
KC020382	1	1	1A	1A
JN992830	1	1	1B	1B
JN993061	1	1	1B	1B
CY153458	1	1	1B	1B
JN992827	1	1	1B	1B
CY153762	1	1	1B	1B
JN992839	1	1	1B	1B
JX429654	1	1	1B	1B
KC813921	1	1	1B	1B
KC813786	1	1	1B	1B
JN992975	1	1	1B	1B
JN992881	1	1	1B	1B
JN992884	1	1	1B	1B
JX429660	1	1	1B	1B
CY153682	1	1	1B	1B
CY153826	1	1	1B	1B
CY175969	1	1	1B	1B
JN992794	1	1	1B	1B
JF912205	1	1	1B	1B
KC813813	1	1	1B	1B
JN992770	1	1	1B	1B
KC813863	1	1	1B	1B
CY153466	1	1	1B	1B
CY153610	1	1	1B	1B
CY153522	1	1	1B	1B
