,subtree,WHO_max,percent_common,pred
41,14493,"['3c2.A', 'A1a']","[['3c2.A', 0.46296296296296297], ['A1a', 0.5], ['3c2', 0.037037037037037035]]",1.0
42,14511,"['3c2.A', 'A1a']","[['3c2.A', 0.4444444444444444], ['A1a', 0.5], ['3c2', 0.05555555555555555]]",1.0
43,14522,"['3c2.A', 'A1a']","[['3c2.A', 0.5], ['A1a', 0.5]]",1.0
44,14544,"['3c2.A', 'A1a']","[['3c2.A', 0.5], ['A1a', 0.5]]",1.0
45,14552,"['3c2.A', 'A1']","[['3c2.A', 0.4878048780487805], ['A1', 0.5], ['3c2', 0.012195121951219513]]",1.0
46,14553,"['3c2.A', 'A1']","[['3c2.A', 0.4875], ['A1', 0.5], ['3c2', 0.0125]]",1.0
47,14617,"['3c2.A', 'A1']","[['3c2.A', 0.5], ['A1', 0.5]]",0.0
48,14701,"['3c2.A', 'A1']","[['3c2.A', 0.4827586206896552], ['A1', 0.5], ['3c2', 0.017241379310344827]]",1.0
49,14702,"['3c2.A', 'A1']","[['3c2.A', 0.4824561403508772], ['A1', 0.5], ['3c2', 0.017543859649122806]]",0.0
50,14710,"['3c2.A', 'A1']","[['3c2.A', 0.4791666666666667], ['A1', 0.5], ['3c2', 0.020833333333333332]]",1.0
51,14712,"['3c2.A', 'A1']","[['3c2.A', 0.5], ['A1', 0.5]]",0.0
52,14760,"['3c2.A', 'A1']","[['3c2.A', 0.5], ['A1', 0.5]]",1.0
53,14848,"['3c2.A', 'A1']","[['3c2.A', 0.463855421686747], ['A1', 0.5], ['3c2', 0.03614457831325301]]",1.0
54,14849,"['3c2.A', 'A1']","[['3c2.A', 0.46296296296296297], ['A1', 0.5], ['3c2', 0.037037037037037035]]",1.0
55,14855,"['3c2.A', 'A1']","[['3c2.A', 0.5], ['A1', 0.5]]",1.0
56,14859,"['3c2.A', 'A1']","[['3c2.A', 0.5], ['A1', 0.5]]",0.0
57,14877,"['3c2.A', 'A1']","[['3c2.A', 0.5], ['A1', 0.5]]",0.0
58,14914,['A1'],"[['3c2', 0.13333333333333333], ['A1', 0.5], ['3c2.A', 0.36666666666666664]]",1.0
59,14936,['3c2.A'],"[['3c2.A', 0.8888888888888888], ['3c2', 0.1111111111111111]]",0.0
60,14947,['3c2.A'],"[['3c2.A', 0.47846700908731726], ['A2/re', 0.3472935598577637], ['3c2', 0.026471750296325564], ['A2', 0.14737258000790202], ['3c', 0.0003951007506914263]]",1.0
61,14953,"['3c2.A', 'A2/re']","[['3c2.A', 0.4761459307764266], ['A2/re', 0.41113189897100094], ['3c2', 0.023854069223573433], ['A2', 0.08840037418147802], ['3c', 0.0004677268475210477]]",1.0
62,14969,"['3c2.A', 'A2/re']","[['3c2.A', 0.4762967094255438], ['A2/re', 0.4902398215281651], ['3c2', 0.023424428332403793], ['A2', 0.009481316229782488], ['3c', 0.0005577244841048522]]",1.0
63,14975,"['3c2.A', 'A2/re']","[['3c2.A', 0.48941469489414696], ['A2/re', 0.4925280199252802], ['3c2', 0.010585305105853052], ['A2', 0.007471980074719801]]",1.0
64,14990,"['3c2.A', 'A2/re']","[['3c2.A', 0.4878048780487805], ['A2/re', 0.49738675958188155], ['3c2', 0.012195121951219513], ['A2', 0.002613240418118467]]",1.0
65,14991,"['3c2.A', 'A2/re']","[['3c2.A', 0.48778359511343805], ['A2/re', 0.4973821989528796], ['3c2', 0.012216404886561954], ['A2', 0.002617801047120419]]",1.0
66,14993,"['3c2.A', 'A2/re']","[['3c2.A', 0.48696461824953446], ['A2/re', 0.4972067039106145], ['3c2', 0.01303538175046555], ['A2', 0.002793296089385475]]",1.0
67,15020,"['3c2.A', 'A2/re']","[['3c2.A', 0.483695652173913], ['A2/re', 0.49818840579710144], ['3c2', 0.016304347826086956], ['A2', 0.0018115942028985507]]",1.0
68,15454,"['3c2.A', 'A2/re']","[['3c2.A', 0.4375], ['A2/re', 0.5], ['3c2', 0.0625]]",0.0
69,15532,"['3c2.A', 'A2/re']","[['3c2.A', 0.5], ['A2/re', 0.5]]",0.0
70,15566,"['3c2.A', 'A2/re']","[['3c2.A', 0.475], ['A2/re', 0.5], ['3c2', 0.025]]",0.0
71,15606,"['3c2.A', 'A2/re']","[['3c2.A', 0.4818181818181818], ['A2/re', 0.45454545454545453], ['3c2', 0.01818181818181818], ['A2', 0.045454545454545456]]",1.0
72,15608,"['3c2.A', 'A2/re']","[['3c2.A', 0.4827586206896552], ['A2/re', 0.41379310344827586], ['3c2', 0.017241379310344827], ['A2', 0.08620689655172414]]",0.0
73,15637,"['3c2.A', 'A2/re']","[['3c2.A', 0.4791666666666667], ['A2/re', 0.5], ['3c2', 0.020833333333333332]]",1.0
74,15663,"['3c2.A', 'A2/re']","[['3c2.A', 0.5], ['A2/re', 0.5]]",1.0
75,15669,"['3c2.A', 'A2/re']","[['3c2.A', 0.5], ['A2/re', 0.5]]",1.0
76,15685,"['3c2.A', 'A2/re']","[['3c2.A', 0.5], ['A2', 0.022388059701492536], ['A2/re', 0.47761194029850745]]",0.0
77,15788,['A2/re'],"[['3c2', 0.15822784810126583], ['A2/re', 0.5], ['3c', 0.006329113924050633], ['3c2.A', 0.33544303797468356]]",0.0
78,15789,['A2/re'],"[['3c2', 0.16233766233766234], ['A2/re', 0.5], ['3c', 0.006493506493506494], ['3c2.A', 0.33116883116883117]]",0.0
79,15794,"['3c2', 'A2/re']","[['3c2', 0.42592592592592593], ['A2/re', 0.5], ['3c', 0.018518518518518517], ['3c2.A', 0.05555555555555555]]",0.0
80,15820,"['3c2.A', 'A2/re']","[['3c2.A', 0.5], ['A2/re', 0.5]]",0.0
81,15917,"['3c2.A', 'A2']","[['3c2.A', 0.4583333333333333], ['A2', 0.5], ['3c2', 0.041666666666666664]]",0.0
82,15929,"['A2', '3c2.A']","[['3c2', 0.0196078431372549], ['A2', 0.49019607843137253], ['3c2.A', 0.49019607843137253]]",0.0
83,15970,"['3c2.A', 'A2']","[['3c2.A', 0.4444444444444444], ['A2', 0.5], ['3c2', 0.05555555555555555]]",1.0
84,15992,"['3c2.A', 'A2']","[['3c2.A', 0.5], ['A2', 0.5]]",0.0
85,16048,"['3c2.A', 'A2']","[['3c2.A', 0.5], ['A2', 0.5]]",0.0
86,16056,"['3c2.A', 'A2']","[['3c2.A', 0.5], ['A2', 0.5]]",1.0
87,16106,"['3c2.A', 'A2']","[['3c2.A', 0.43414634146341463], ['A2', 0.4975609756097561], ['3c2', 0.06829268292682927]]",1.0
88,16313,['3c2.A'],"[['3c2.A', 1.0]]",0.0
89,17012,"['3c2', 'A3']","[['3c2', 0.5016949152542373], ['A3', 0.49830508474576274]]",1.0
90,17013,"['3c2', 'A3']","[['3c2', 0.5017064846416383], ['A3', 0.49829351535836175]]",1.0
91,17025,"['3c2', 'A3']","[['3c2', 0.5056179775280899], ['A3', 0.4943820224719101]]",1.0
92,17036,"['3c2', 'A3']","[['3c2', 0.5098039215686274], ['A3', 0.49019607843137253]]",1.0
93,17106,"['3c2', 'A3']","[['3c2', 0.5], ['A3', 0.5]]",1.0
94,17164,"['3c2', 'A3']","[['3c2', 0.5], ['A3', 0.5]]",1.0
95,17182,"['3c2', 'A3']","[['3c2', 0.5], ['A3', 0.5]]",0.0
96,17201,"['3c2', 'A3']","[['3c2', 0.42857142857142855], ['A3', 0.5], ['3c', 0.07142857142857142]]",1.0
97,17413,['3c2.A'],"[['3c2.A', 0.9452054794520548], ['3c2', 0.0547945205479452]]",0.0
98,17416,['3c2.A'],"[['3c2.A', 0.9183673469387755], ['3c2', 0.08163265306122448]]",1.0
99,17418,['3c2.A'],"[['3c2.A', 0.8928571428571429], ['3c2', 0.10714285714285714]]",0.0
100,17532,['3c2.A'],"[['3c2.A', 1.0]]",0.0
101,17786,['3c2.A'],"[['3c2.A', 1.0]]",0.0
102,18410,"['3c2', 'A4']","[['3c2', 0.5098039215686274], ['A4', 0.49019607843137253]]",0.0
103,19878,['3c3.A'],"[['3c3.A', 0.9795918367346939], ['3c3', 0.02040816326530612]]",0.0
104,19895,['3c3.A'],"[['3c3.A', 0.9722222222222222], ['3c3', 0.027777777777777776]]",1.0
105,19901,['3c3.A'],"[['3c3.A', 1.0]]",0.0
106,19994,['3c3.A'],"[['3c3.A', 0.9803921568627451], ['3c3', 0.0196078431372549]]",0.0
107,20099,['3c3.A'],"[['3c3.A', 1.0]]",0.0
108,20104,['3c3.A'],"[['3c3.A', 1.0]]",0.0
109,20109,['3c3.A'],"[['3c3.A', 1.0]]",0.0
110,20176,['3c3.A'],"[['3c3.A', 0.9936305732484076], ['3c3', 0.006369426751592357]]",1.0
111,20177,['3c3.A'],"[['3c3.A', 0.9929078014184397], ['3c3', 0.0070921985815602835]]",1.0
112,20180,['3c3.A'],"[['3c3.A', 0.9913793103448276], ['3c3', 0.008620689655172414]]",1.0
113,20183,['3c3.A'],"[['3c3.A', 0.9873417721518988], ['3c3', 0.012658227848101266]]",1.0
114,20189,['3c3.A'],"[['3c3.A', 0.9861111111111112], ['3c3', 0.013888888888888888]]",1.0
115,20197,['3c3.A'],"[['3c3.A', 1.0]]",1.0
116,20198,['3c3.A'],"[['3c3.A', 1.0]]",0.0
117,20270,['3c3.A'],"[['3c3.A', 1.0]]",0.0
118,20318,['3c3.A'],"[['3c3.A', 1.0]]",1.0
119,20336,['3c3.A'],"[['3c3.A', 1.0]]",0.0
