,WHO,tip,size,ratio
125,3c2.A,MF599429,4,1.0
126,3c2.A,MG431388,4,1.0
127,3c2.A,MG431380,4,1.0
128,3c2.A,MF599431,4,1.0
129,3c2.A,MG431389,3,1.0
130,3c2.A,MF599425,3,1.0
131,3c2.A,MG431383,3,1.0
132,3c2.A,MF599419,3,1.0
133,3c2.A,MF599422,3,1.0
134,3c2.A,MF599432,3,1.0
135,3c2.A,MG431375,3,1.0
136,3c2.A,MF599420,3,1.0
137,3c2.A,KY116222,3,1.0
138,3c2.A,CY243928,3,1.0
139,3c2.A,CY227598,3,1.0
140,3c2.A,CY221902,3,1.0
141,3c2.A,CY223125,3,1.0
142,3c2.A,CY223934,3,1.0
143,3c2.A,CY244233,3,1.0
144,3c2.A,CY243895,3,1.0
145,3c2.A,MF182521,3,1.0
146,3c2.A,CY210496,3,1.0
147,3c2.A,CY227422,3,1.0
148,3c2.A,CY213114,3,1.0
149,3c2.A,CY218198,3,1.0
150,3c2.A,CY221854,3,1.0
151,3c2.A,CY244251,3,1.0
152,3c2.A,CY214346,3,1.0
153,3c2.A,CY220479,3,1.0
154,3c2.A,KY115878,3,1.0
155,3c2.A,CY212033,3,1.0
156,3c2.A,CY235456,3,1.0
157,3c2.A,CY219201,3,1.0
158,3c2.A,KY289497,3,1.0
159,3c2.A,CY231132,3,1.0
160,3c2.A,MG984158,4,1.0
161,3c2.A,MG984505,4,1.0
162,3c2.A,MG984305,4,1.0
163,3c2.A,MG984425,4,1.0
164,3c2.A,MG984128,4,1.0
165,3c2.A,MG984353,4,1.0
166,3c2.A,MG984489,4,1.0
167,3c2.A,MH131222,5,0.8
168,3c2.A,MH083124,5,0.8
169,3c2.A,MH393254,5,0.8
170,3c2.A,CY258348,5,0.8
171,3c2.A,CY265205,5,0.8
172,3c2.A,CY260985,5,0.8
173,3c2.A,CY243694,5,0.8
174,3c2.A,CY245054,5,0.8
175,3c2.A,MH601554,4,1.0
176,3c2.A,CY255789,4,1.0
177,3c2.A,MG198920,4,1.0
178,3c2.A,MH393252,4,1.0
179,3c2.A,CY260356,5,1.0
180,3c2.A,CY256181,5,1.0
181,3c2.A,MH294882,5,1.0
182,3c2.A,MH294726,5,1.0
183,3c2.A,CY263200,5,1.0
184,3c2.A,MH601850,5,1.0
185,3c2.A,CY265149,5,1.0
186,3c2.A,CY257989,5,1.0
187,3c2.A,MH127113,5,1.0
188,3c2.A,CY256125,5,1.0
189,3c2.A,CY244729,5,1.0
190,3c2.A,CY256117,5,1.0
191,3c2.A,CY255877,5,1.0
192,3c2.A,CY247182,5,1.0
193,3c2.A,CY258436,5,1.0
194,3c2.A,CY239992,5,1.0
195,3c2.A,CY250675,5,1.0
196,3c2.A,CY244721,5,1.0
197,3c2.A,CY246982,5,1.0
198,3c2.A,CY243758,5,1.0
199,3c2.A,CY261439,5,1.0
200,3c2.A,MH586036,5,1.0
201,3c2.A,CY250651,5,1.0
202,3c2.A,MH294727,5,1.0
203,3c2.A,CY255885,5,1.0
204,3c2.A,CY261431,5,1.0
205,3c2.A,CY264561,5,1.0
206,3c2.A,CY245398,5,1.0
207,3c2.A,CY258084,5,1.0
208,3c2.A,CY249979,4,1.0
209,3c2.A,MH127021,4,1.0
210,3c2.A,MH701396,4,1.0
211,3c2.A,CY260889,4,1.0
212,3c2.A,MH246802,4,1.0
213,3c2.A,CY250115,4,1.0
214,3c2.A,CY240031,4,1.0
215,3c2.A,CY249835,4,1.0
216,3c2.A,CY257765,4,1.0
217,3c2.A,CY260747,4,1.0
218,3c2.A,MG066690,3,1.0
219,3c2.A,CY234874,3,1.0
220,3c2.A,CY214594,3,1.0
221,3c2.A,CY227118,3,1.0
222,3c2.A,CY222005,3,1.0
223,3c2.A,CY211898,3,1.0
224,3c2.A,CY244120,3,1.0
225,3c2.A,MF182500,3,1.0
226,3c2.A,MF182499,3,1.0
227,3c2.A,CY212706,3,1.0
228,3c2.A,CY214226,3,1.0
229,3c2.A,CY224014,3,1.0
230,3c2.A,CY244256,3,1.0
231,3c2.A,CY238569,3,1.0
232,3c2.A,CY234562,4,1.0
233,3c2.A,CY216473,4,1.0
234,3c2.A,MF182496,4,1.0
235,3c2.A,CY234810,4,1.0
236,3c2.A,CY232578,4,1.0
237,3c2.A,CY228781,4,1.0
238,3c2.A,CY230602,4,1.0
239,3c2.A,CY216193,4,1.0
240,3c2.A,CY244155,4,1.0
241,3c2.A,CY230277,4,1.0
242,3c2.A,CY244169,4,1.0
243,3c2.A,CY244156,4,1.0
244,3c2.A,CY244390,4,1.0
245,3c2.A,CY244222,4,1.0
246,3c2.A,CY244005,4,1.0
247,3c2.A,CY244229,4,1.0
248,3c2.A,CY234991,4,1.0
249,3c2.A,CY243944,4,1.0
250,3c2.A,CY234466,4,1.0
251,3c2.A,CY224094,4,1.0
252,3c2.A,CY214426,3,1.0
253,3c2.A,CY226759,4,0.75
254,3c2.A,CY232356,4,0.75
255,3c2.A,CY234490,4,0.75
256,3c2.A,CY233432,4,0.75
257,3c2.A,CY226767,4,0.75
258,3c2.A,CY228933,4,0.75
259,3c2.A,CY233448,4,0.75
260,3c2.A,CY227566,3,1.0
261,3c2.A,CY234682,3,1.0
262,3c2.A,CY213234,3,1.0
263,3c2.A,CY223734,3,1.0
264,3c2.A,CY232610,3,1.0
265,3c2.A,CY222853,3,1.0
266,3c2.A,CY244014,3,1.0
267,3c2.A,CY226791,3,1.0
268,3c2.A,CY216121,3,1.0
269,3c2.A,CY220519,3,1.0
270,3c2.A,CY226695,3,1.0
271,3c2.A,CY224838,3,1.0
272,3c2.A,CY230738,3,1.0
273,3c2.A,CY223838,3,1.0
274,3c2.A,CY210727,3,1.0
275,3c2.A,CY234887,3,1.0
276,3c2.A,CY244136,3,1.0
277,3c2.A,CY234920,3,1.0
278,3c2.A,CY211978,3,1.0
279,3c2.A,CY210306,3,1.0
280,3c2.A,CY226655,3,1.0
281,3c2.A,CY226623,3,1.0
282,3c2.A,CY226567,3,1.0
283,3c2.A,CY226607,3,1.0
284,3c2.A,CY230538,3,1.0
285,3c2.A,CY214818,3,1.0
286,3c2.A,CY234216,3,1.0
287,3c2.A,CY211779,3,1.0
288,3c2.A,KY116182,3,1.0
289,3c2.A,CY235018,3,1.0
290,3c2.A,CY259303,3,1.0
291,3c2.A,CY227526,3,1.0
292,3c2.A,CY212041,3,1.0
293,3c2.A,CY244171,3,1.0
294,3c2.A,CY250547,3,1.0
295,3c2.A,CY240055,3,1.0
296,3c2.A,CY222805,3,1.0
297,3c2.A,CY228805,3,1.0
298,3c2.A,KY289450,3,1.0
299,3c2.A,CY222965,3,1.0
300,3c2.A,CY210807,3,1.0
301,3c2.A,CY216049,3,1.0
302,3c2.A,CY222917,3,1.0
303,3c2.A,CY220255,3,1.0
304,3c2.A,CY243965,3,1.0
305,3c2.A,CY243901,3,1.0
306,3c2.A,CY239713,3,1.0
307,3c2.A,CY210583,3,1.0
308,3c2.A,CY235840,3,1.0
309,3c2.A,CY216561,3,1.0
310,3c2.A,CY216017,3,1.0
311,3c2.A,CY243947,3,1.0
312,3c2.A,CY227694,3,1.0
313,3c2.A,KY435815,3,1.0
314,3c2.A,CY234936,3,1.0
315,3c2.A,CY244022,3,1.0
316,3c2.A,MF182528,3,1.0
317,3c2.A,MF182527,3,1.0
318,3c2.A,KY583625,3,1.0
319,3c2.A,CY244235,3,1.0
320,3c2.A,CY244048,3,1.0
321,3c2.A,CY243980,3,1.0
322,3c2.A,KY949820,3,1.0
323,3c2.A,KY950005,3,1.0
324,3c2.A,KY949883,3,1.0
325,3c2.A,CY235880,3,1.0
326,3c2.A,CY238561,3,1.0
327,3c2.A,CY230642,3,1.0
328,3c2.A,CY228869,3,1.0
329,3c2.A,CY216481,3,1.0
330,3c2.A,CY214434,3,1.0
331,3c2.A,CY223886,3,1.0
332,3c2.A,KY949900,3,1.0
333,3c2.A,CY227134,3,1.0
334,3c2.A,KY950099,2,1.0
335,3c2.A,CY222989,2,1.0
336,3c2.A,CY234674,2,1.0
337,3c2.A,CY226639,2,1.0
338,3c2.A,CY211994,2,1.0
339,3c2.A,CY224118,2,1.0
340,3c2.A,CY216777,2,1.0
341,3c2.A,CY227398,2,1.0
342,3c2.A,CY215162,2,1.0
343,3c2.A,CY216281,2,1.0
344,3c2.A,CY215945,2,1.0
345,3c2.A,CY216689,2,1.0
346,3c2.A,CY230229,2,1.0
347,3c2.A,CY243921,2,1.0
348,3c2.A,CY243927,2,1.0
349,3c2.A,KY583706,2,1.0
350,3c2.A,CY243952,2,1.0
351,3c2.A,MG279294,3,1.0
352,3c2.A,CY234634,3,1.0
353,3c2.A,CY234934,3,1.0
354,3c2.A,KY583709,3,1.0
355,3c2.A,CY244132,3,1.0
356,3c2.A,CY243968,3,1.0
357,3c2.A,CY244409,3,1.0
358,3c2.A,MF182513,3,1.0
359,3c2.A,CY244104,3,1.0
360,3c2.A,CY244073,3,1.0
361,3c2.A,CY234940,2,1.0
362,3c2.A,CY244196,2,1.0
363,3c2.A,KY583708,2,1.0
364,3c2.A,CY243941,2,1.0
365,3c2.A,KY583624,2,1.0
366,3c2.A,CY244274,2,1.0
367,3c2.A,CY238394,2,1.0
368,3c2.A,CY213250,2,1.0
369,3c2.A,CY238298,2,1.0
370,3c2.A,CY235010,2,1.0
371,3c2.A,CY259375,2,1.0
372,3c2.A,CY221981,2,1.0
373,3c2.A,CY245334,5,0.8
374,3c2.A,CY245318,5,0.8
375,3c2.A,CY235976,5,0.8
376,3c2.A,CY245118,5,0.8
377,3c2.A,CY260710,5,0.8
378,3c2.A,CY244285,5,0.8
379,3c2.A,CY242398,5,0.8
380,3c2.A,CY235872,5,0.8
381,3c2.A,CY230285,4,0.75
382,3c2.A,CY227430,4,0.75
383,3c2.A,CY242078,4,0.75
384,3c2.A,MH082740,4,0.75
385,3c2.A,CY214634,4,0.75
386,3c2.A,MG974394,3,1.0
387,3c2.A,MH082172,3,1.0
388,3c2.A,MG974402,3,1.0
389,3c2.A,CY250579,3,1.0
390,3c2.A,CY255837,3,1.0
391,3c2.A,CY242326,3,1.0
392,3c2.A,CY233400,3,1.0
393,3c2.A,CY234698,3,1.0
394,3c2.A,MH586380,3,1.0
395,3c2.A,MH083064,3,1.0
396,3c2.A,CY258156,3,1.0
397,3c2.A,MH082684,3,1.0
398,3c2.A,CY227222,3,1.0
399,3c2.A,CY226535,3,1.0
400,3c2.A,CY212690,3,1.0
401,3c2.A,CY235864,3,1.0
402,3c2.A,CY244134,3,1.0
403,3c2.A,MF182520,3,1.0
404,3c2.A,CY220367,3,1.0
405,3c2.A,CY244026,3,1.0
406,3c2.A,CY235952,3,1.0
407,3c2.A,CY235616,3,1.0
408,3c2.A,CY235624,3,1.0
409,3c2.A,CY216137,3,1.0
410,3c2.A,CY223950,3,1.0
411,3c2.A,CY230650,3,1.0
412,3c2.A,CY235784,3,1.0
413,3c2.A,CY244705,3,1.0
414,3c2.A,CY223918,3,1.0
415,3c2.A,CY226831,3,1.0
416,3c2.A,CY214802,2,1.0
417,3c2.A,CY244070,2,1.0
418,3c2.A,CY220375,2,1.0
419,3c2.A,CY208968,2,1.0
420,3c2.A,CY228701,2,1.0
421,3c2.A,CY220487,2,1.0
422,3c2.A,CY216009,2,1.0
423,3c2.A,CY225230,2,1.0
424,3c2.A,CY227614,2,1.0
425,3c2.A,CY222893,2,1.0
426,3c2.A,CY233370,2,1.0
427,3c2.A,CY226703,2,1.0
428,3c2.A,KY115982,2,1.0
429,3c2.A,CY226823,2,1.0
430,3c2.A,CY238274,2,1.0
431,3c2.A,CY220535,2,1.0
432,3c2.A,MF182510,2,1.0
433,3c2.A,CY244269,2,1.0
434,3c2.A,CY216537,2,1.0
435,3c2.A,CY222869,2,1.0
436,3c2.A,CY233259,2,1.0
437,3c2.A,CY220055,2,1.0
438,3c2.A,CY210575,2,1.0
439,3c2.A,CY227582,2,1.0
440,3c2.A,CY227710,2,1.0
441,3c2.A,KY950007,2,1.0
442,3c2.A,KY950120,2,1.0
443,3c2.A,KY949661,2,1.0
444,3c2.A,CY230301,2,1.0
445,3c2.A,CY244133,2,0.5
446,3c2.A,CY244052,2,0.5
447,3c2.A,CY244094,2,0.5
448,3c2.A,CY214362,2,0.5
449,3c2.A,CY209408,2,0.5
450,3c2.A,CY212802,2,0.5
451,3c2.A,KY950063,2,0.5
452,3c2.A,CY243870,2,0.5
453,3c2.A,CY244207,2,0.5
454,3c2.A,CY234972,2,0.5
455,3c2.A,CY243495,2,0.5
456,3c2.A,CY214922,2,0.5
457,3c2.A,KY949711,2,0.5
458,3c2.A,KY289619,2,0.5
459,3c2.A,CY223181,2,0.5
460,3c2.A,CY212010,1,1.0
461,3c2.A,KY003480,1,1.0
462,3c2.A,KY289109,1,1.0
463,3c2.A,CY232547,1,1.0
464,3c2.A,CY255169,1,1.0
465,3c2.A,KX916892,1,1.0
466,3c2.A,MH358630,3,1.0
467,3c2.A,MH601026,3,1.0
468,3c2.A,MH600844,3,1.0
469,3c2.A,CY264353,3,1.0
470,3c2.A,MH082804,3,1.0
471,3c2.A,MH600710,3,1.0
472,3c2.A,MH358662,3,1.0
473,3c2.A,MH601049,3,1.0
474,3c2.A,CY261535,3,1.0
475,3c2.A,CY250107,3,1.0
476,3c2.A,MH601339,3,1.0
477,3c2.A,CY258180,3,1.0
478,3c2.A,MH126585,3,1.0
479,3c2.A,MH307266,3,1.0
480,3c2.A,MH127241,3,1.0
481,3c2.A,CY264870,3,1.0
482,3c2.A,CY234626,3,1.0
483,3c2.A,MF673285,3,1.0
484,3c2.A,MG066682,3,1.0
485,3c2.A,CY260849,3,1.0
486,3c2.A,CY256189,3,1.0
487,3c2.A,MH294839,3,1.0
488,3c2.A,CY264330,3,1.0
489,3c2.A,MG974948,3,1.0
490,3c2.A,MH126625,3,1.0
491,3c2.A,MH307034,3,1.0
492,3c2.A,MH127297,3,1.0
493,3c2.A,MH443532,3,1.0
494,3c2.A,MH307122,3,1.0
495,3c2.A,CY256165,3,1.0
496,3c2.A,CY245286,3,1.0
497,3c2.A,MH126606,3,1.0
498,3c2.A,CY258188,3,1.0
499,3c2.A,CY243471,3,1.0
500,3c2.A,CY238907,3,1.0
501,3c2.A,MG914339,5,0.8
502,3c2.A,MG914227,5,0.8
503,3c2.A,MG914099,5,0.8
504,3c2.A,CY264481,5,0.8
505,3c2.A,MH601769,5,0.8
506,3c2.A,MH701140,5,0.8
507,3c2.A,CY264092,5,0.8
508,3c2.A,CY256037,5,0.8
509,3c2.A,CY250091,5,0.8
510,3c2.A,CY261367,5,0.8
511,3c2.A,MH294721,5,0.8
512,3c2.A,MG279230,5,0.8
513,3c2.A,MF673284,5,0.8
514,3c2.A,MH294827,5,0.8
515,3c2.A,MG066684,5,0.8
516,3c2.A,CY250659,4,1.0
517,3c2.A,CY263184,3,1.0
518,3c2.A,CY263176,3,1.0
519,3c2.A,CY242054,3,1.0
520,3c2.A,CY247142,3,1.0
521,3c2.A,CY264409,3,1.0
522,3c2.A,CY249939,3,1.0
523,3c2.A,CY245134,3,1.0
524,3c2.A,MH600641,3,1.0
525,3c2.A,CY243567,3,1.0
526,3c2.A,MG830254,3,1.0
527,3c2.A,CY260511,3,1.0
528,3c2.A,CY258172,3,1.0
529,3c2.A,CY244681,3,1.0
530,3c2.A,MH585838,3,1.0
531,3c2.A,MH306723,3,1.0
532,3c2.A,MH306670,3,1.0
533,3c2.A,MH601410,3,1.0
534,3c2.A,CY242342,3,1.0
535,3c2.A,CY245238,3,1.0
536,3c2.A,CY244894,3,1.0
537,3c2.A,CY250595,3,1.0
538,3c2.A,MG984289,3,1.0
539,3c2.A,MG984162,3,1.0
540,3c2.A,MG984313,3,1.0
541,3c2.A,MG279222,3,1.0
542,3c2.A,CY243935,3,1.0
543,3c2.A,CY228685,3,1.0
544,3c2.A,CY230666,3,1.0
545,3c2.A,CY227214,3,1.0
546,3c2.A,CY227574,3,1.0
547,3c2.A,CY244039,3,1.0
548,3c2.A,MG431377,3,1.0
549,3c2.A,MG431379,3,1.0
550,3c2.A,MG431378,3,1.0
551,3c2.A,MG431376,3,1.0
552,3c2.A,MG431381,3,1.0
553,3c2.A,CY244561,3,1.0
554,3c2.A,MG830948,3,1.0
555,3c2.A,CY266783,4,0.75
556,3c2.A,CY266503,4,0.75
557,3c2.A,CY266863,4,0.75
558,3c2.A,CY266415,4,0.75
559,3c2.A,CY266831,4,0.75
560,3c2.A,CY266655,4,0.75
561,3c2.A,CY266647,4,0.75
562,3c2.A,CY242278,4,0.75
563,3c2.A,CY243885,4,0.75
564,3c2.A,CY223101,4,0.75
565,3c2.A,CY216041,4,0.75
566,3c2.A,CY227318,4,0.75
567,3c2.A,CY242038,4,0.75
568,3c2.A,MG914259,3,1.0
569,3c2.A,MG914155,3,1.0
570,3c2.A,CY243503,3,1.0
571,3c2.A,CY244056,3,1.0
572,3c2.A,MG279246,3,1.0
573,3c2.A,CY234929,3,1.0
574,3c2.A,CY234968,3,1.0
575,3c2.A,CY240079,3,1.0
576,3c2.A,CY247134,3,1.0
577,3c2.A,CY266703,3,1.0
578,3c2.A,CY266367,3,1.0
579,3c2.A,CY266471,3,1.0
580,3c2.A,CY226671,3,1.0
581,3c2.A,CY255433,3,1.0
582,3c2.A,MG431374,4,1.0
583,3c2.A,MG431371,4,1.0
584,3c2.A,MG431372,4,1.0
585,3c2.A,MG431385,4,1.0
586,3c2.A,MF599428,4,1.0
587,3c2.A,MF599426,4,1.0
588,3c2.A,MF599423,4,1.0
589,3c2.A,MG431387,4,1.0
590,3c2.A,MF599430,4,1.0
591,3c2.A,MF599429,4,1.0
592,3c2.A,MG431388,4,1.0
593,3c2.A,MG431380,4,1.0
594,3c2.A,MF599431,4,1.0
595,3c2.A,MG431389,3,1.0
596,3c2.A,MF599425,3,1.0
597,3c2.A,MG431383,3,1.0
598,3c2.A,MF599419,3,1.0
599,3c2.A,MF599422,3,1.0
600,3c2.A,MF599432,3,1.0
601,3c2.A,MG431375,3,1.0
602,3c2.A,MF599420,3,1.0
603,3c2.A,KY116222,3,1.0
604,3c2.A,CY243928,3,1.0
605,3c2.A,CY227598,3,1.0
606,3c2.A,CY221902,3,1.0
607,3c2.A,CY223125,3,1.0
608,3c2.A,CY223934,3,1.0
609,3c2.A,CY244233,3,1.0
610,3c2.A,CY243895,3,1.0
611,3c2.A,MF182521,3,1.0
612,3c2.A,CY210496,3,1.0
613,3c2.A,CY227422,3,1.0
614,3c2.A,CY213114,3,1.0
615,3c2.A,CY218198,3,1.0
616,3c2.A,CY221854,3,1.0
617,3c2.A,CY244251,3,1.0
618,3c2.A,CY214346,3,1.0
619,3c2.A,CY220479,3,1.0
620,3c2.A,KY115878,3,1.0
621,3c2.A,CY212033,3,1.0
622,3c2.A,CY235456,3,1.0
623,3c2.A,CY219201,3,1.0
624,3c2.A,KY289497,3,1.0
625,3c2.A,CY231132,3,1.0
626,3c2.A,MG984158,4,1.0
627,3c2.A,MG984505,4,1.0
628,3c2.A,MG984305,4,1.0
629,3c2.A,MG984425,4,1.0
630,3c2.A,MG984128,4,1.0
631,3c2.A,MG984353,4,1.0
632,3c2.A,MG984489,4,1.0
633,3c2.A,MH131222,5,0.8
634,3c2.A,MH083124,5,0.8
635,3c2.A,MH393254,5,0.8
636,3c2.A,CY258348,5,0.8
637,3c2.A,CY265205,5,0.8
638,3c2.A,CY260985,5,0.8
639,3c2.A,CY243694,5,0.8
640,3c2.A,CY245054,5,0.8
641,3c2.A,MH601554,4,1.0
642,3c2.A,CY255789,4,1.0
643,3c2.A,MG198920,4,1.0
644,3c2.A,MH393252,4,1.0
645,3c2.A,CY260356,5,1.0
646,3c2.A,CY256181,5,1.0
647,3c2.A,MH294882,5,1.0
648,3c2.A,MH294726,5,1.0
649,3c2.A,CY263200,5,1.0
650,3c2.A,MH601850,5,1.0
651,3c2.A,CY265149,5,1.0
652,3c2.A,CY257989,5,1.0
653,3c2.A,MH127113,5,1.0
654,3c2.A,CY256125,5,1.0
655,3c2.A,CY244729,5,1.0
656,3c2.A,CY256117,5,1.0
657,3c2.A,CY255877,5,1.0
658,3c2.A,CY247182,5,1.0
659,3c2.A,CY258436,5,1.0
660,3c2.A,CY239992,5,1.0
661,3c2.A,CY250675,5,1.0
662,3c2.A,CY244721,5,1.0
663,3c2.A,CY246982,5,1.0
664,3c2.A,CY243758,5,1.0
665,3c2.A,CY261439,5,1.0
666,3c2.A,MH586036,5,1.0
667,3c2.A,CY250651,5,1.0
668,3c2.A,MH294727,5,1.0
669,3c2.A,CY255885,5,1.0
670,3c2.A,CY261431,5,1.0
671,3c2.A,CY264561,5,1.0
672,3c2.A,CY245398,5,1.0
673,3c2.A,CY258084,5,1.0
674,3c2.A,CY249979,4,1.0
675,3c2.A,MH127021,4,1.0
676,3c2.A,MH701396,4,1.0
677,3c2.A,CY260889,4,1.0
678,3c2.A,MH246802,4,1.0
679,3c2.A,CY250115,4,1.0
680,3c2.A,CY240031,4,1.0
681,3c2.A,CY249835,4,1.0
682,3c2.A,CY257765,4,1.0
683,3c2.A,CY260747,4,1.0
684,3c2.A,MG066690,3,1.0
685,3c2.A,CY234874,3,1.0
686,3c2.A,CY214594,3,1.0
687,3c2.A,CY227118,3,1.0
688,3c2.A,CY222005,3,1.0
689,3c2.A,CY211898,3,1.0
690,3c2.A,CY244120,3,1.0
691,3c2.A,MF182500,3,1.0
692,3c2.A,MF182499,3,1.0
693,3c2.A,CY212706,3,1.0
694,3c2.A,CY214226,3,1.0
695,3c2.A,CY224014,3,1.0
696,3c2.A,CY244256,3,1.0
697,3c2.A,CY238569,3,1.0
698,3c2.A,CY234562,4,1.0
699,3c2.A,CY216473,4,1.0
700,3c2.A,MF182496,4,1.0
701,3c2.A,CY234810,4,1.0
702,3c2.A,CY232578,4,1.0
703,3c2.A,CY228781,4,1.0
704,3c2.A,CY230602,4,1.0
705,3c2.A,CY216193,4,1.0
706,3c2.A,CY244155,4,1.0
707,3c2.A,CY230277,4,1.0
708,3c2.A,CY244169,4,1.0
709,3c2.A,CY244156,4,1.0
710,3c2.A,CY244390,4,1.0
711,3c2.A,CY244222,4,1.0
712,3c2.A,CY244005,4,1.0
713,3c2.A,CY244229,4,1.0
714,3c2.A,CY234991,4,1.0
715,3c2.A,CY243944,4,1.0
716,3c2.A,CY234466,4,1.0
717,3c2.A,CY224094,4,1.0
718,3c2.A,CY214426,3,1.0
719,3c2.A,CY226759,4,0.75
720,3c2.A,CY232356,4,0.75
721,3c2.A,CY234490,4,0.75
722,3c2.A,CY233432,4,0.75
723,3c2.A,CY226767,4,0.75
724,3c2.A,CY228933,4,0.75
725,3c2.A,CY233448,4,0.75
726,3c2.A,CY227566,3,1.0
727,3c2.A,CY234682,3,1.0
728,3c2.A,CY213234,3,1.0
729,3c2.A,CY223734,3,1.0
730,3c2.A,CY232610,3,1.0
731,3c2.A,CY222853,3,1.0
732,3c2.A,CY244014,3,1.0
733,3c2.A,CY226791,3,1.0
734,3c2.A,CY216121,3,1.0
