,tip_name,ratio,size
402,CY242078,0.75,4
403,MH082740,0.75,4
404,CY214634,0.75,4
405,MG974394,1.0,3
406,MH082172,1.0,3
407,MG974402,1.0,3
408,CY250579,1.0,3
409,CY255837,1.0,3
410,CY242326,1.0,3
411,CY233400,1.0,3
412,CY234698,1.0,3
413,MH586380,1.0,3
414,MH083064,1.0,3
415,CY258156,1.0,3
416,MH082684,1.0,3
417,CY227222,1.0,3
418,CY226535,1.0,3
419,CY212690,1.0,3
420,CY235864,1.0,3
421,CY244134,1.0,3
422,CY233408,1.0,3
423,MF182520,1.0,3
424,CY220367,1.0,3
425,CY244026,1.0,3
426,CY235952,1.0,3
427,CY235616,1.0,3
428,CY235624,1.0,3
429,CY216137,1.0,3
430,CY223950,1.0,3
431,CY230650,1.0,3
432,CY235784,1.0,3
433,CY244705,1.0,3
434,CY223918,1.0,3
435,CY226831,1.0,3
436,CY214802,1.0,2
437,CY244070,1.0,2
438,CY220375,1.0,2
439,CY208968,1.0,2
440,CY228701,1.0,2
441,CY220487,1.0,2
442,CY216009,1.0,2
443,CY214050,1.0,2
444,CY225230,1.0,2
445,CY227614,1.0,2
446,CY222893,1.0,2
447,CY233370,1.0,2
448,CY226703,1.0,2
449,KY115982,1.0,2
450,CY226823,1.0,2
451,CY238274,1.0,2
452,CY220535,1.0,2
453,MF182510,1.0,2
454,CY244269,1.0,2
455,CY216537,1.0,2
456,CY222869,1.0,2
457,CY233259,1.0,2
458,CY220055,1.0,2
459,CY210575,1.0,2
460,CY227582,1.0,2
461,CY227710,1.0,2
462,KY950007,1.0,2
463,KY949955,1.0,2
464,KY950120,1.0,2
465,KY949661,1.0,2
466,CY230301,1.0,2
467,CY244133,0.5,2
468,CY244052,0.5,2
469,CY244094,0.5,2
470,CY214362,0.5,2
471,CY209408,0.5,2
472,CY212802,0.5,2
473,KY950063,0.5,2
474,CY234906,0.5,2
475,CY243870,0.5,2
476,CY244207,0.5,2
477,CY234972,0.5,2
478,CY243495,0.5,2
479,CY214922,0.5,2
480,KY949711,0.5,2
481,KY289619,0.5,2
482,CY223181,0.5,2
483,CY212010,1.0,1
484,KY003480,1.0,1
485,KY289109,1.0,1
486,CY232547,1.0,1
487,CY255169,1.0,1
488,KX916892,1.0,1
489,MH358630,1.0,3
490,MH601026,1.0,3
491,MH600844,1.0,3
492,CY264353,1.0,3
493,MH082804,1.0,3
494,MH600710,1.0,3
495,MH358662,1.0,3
496,MH601049,1.0,3
497,CY261535,1.0,3
498,CY250107,1.0,3
499,MH601339,1.0,3
500,CY258180,1.0,3
501,MH126585,1.0,3
502,MH307266,1.0,3
503,MH127241,1.0,3
504,CY264870,1.0,3
505,CY234626,1.0,3
506,MF673285,1.0,3
507,MG066682,1.0,3
508,CY260849,1.0,3
509,CY256189,1.0,3
510,MH294839,1.0,3
511,CY264330,1.0,3
512,MG974948,1.0,3
513,MH126625,1.0,3
514,MH307034,1.0,3
515,MH127297,1.0,3
516,MH443532,1.0,3
517,MH307122,1.0,3
518,CY256165,1.0,3
519,CY245286,1.0,3
520,MH126606,1.0,3
521,CY258188,1.0,3
522,CY243471,1.0,3
523,CY238907,1.0,3
524,MG914339,0.8,5
525,MG914227,0.8,5
526,MG914099,0.8,5
527,CY264481,0.8,5
528,MH601769,0.8,5
529,MH701140,0.8,5
530,CY264092,0.8,5
531,CY256037,0.8,5
532,CY250091,0.8,5
533,CY261367,0.8,5
534,MH294721,0.8,5
535,MG279230,0.8,5
536,MF673284,0.8,5
537,MH294827,0.8,5
538,MG066684,0.8,5
539,CY250659,1.0,4
540,CY263184,1.0,3
541,CY263176,1.0,3
542,CY242054,1.0,3
543,CY247142,1.0,3
544,CY264409,1.0,3
545,CY249939,1.0,3
546,CY245134,1.0,3
547,MH600641,1.0,3
548,CY243567,1.0,3
549,MG830254,1.0,3
550,CY260511,1.0,3
551,CY258172,1.0,3
552,CY244681,1.0,3
553,MH585838,1.0,3
554,MH306723,1.0,3
555,MH306670,1.0,3
556,MH601410,1.0,3
557,CY242342,1.0,3
558,CY245238,1.0,3
559,CY244894,1.0,3
560,CY245142,1.0,3
561,CY250595,1.0,3
562,MG984289,1.0,3
563,MG984162,1.0,3
564,MG984313,1.0,3
565,CY244122,1.0,3
566,CY244265,1.0,3
567,MG279222,1.0,3
568,CY243935,1.0,3
569,CY228685,1.0,3
570,CY230666,1.0,3
571,CY227214,1.0,3
572,CY227574,1.0,3
573,CY244039,1.0,3
574,MG431377,1.0,3
575,MG431379,1.0,3
576,MG431378,1.0,3
577,MG431376,1.0,3
578,MG431381,1.0,3
579,CY244561,1.0,3
580,MG830948,1.0,3
581,CY266783,0.75,4
582,CY266503,0.75,4
583,CY266863,0.75,4
584,CY266415,0.75,4
585,CY266831,0.75,4
586,CY266655,0.75,4
587,CY266647,0.75,4
588,CY242278,0.75,4
589,CY243885,0.75,4
590,CY223101,0.75,4
591,CY216041,0.75,4
592,CY227318,0.75,4
593,CY242038,0.75,4
594,MG914259,1.0,3
595,MG914155,1.0,3
596,CY243503,1.0,3
597,CY244056,1.0,3
598,MG279246,1.0,3
599,CY234929,1.0,3
600,CY234968,1.0,3
601,CY240079,1.0,3
602,CY247134,1.0,3
603,CY266703,1.0,3
604,CY266367,1.0,3
605,CY266679,1.0,3
606,CY266471,1.0,3
607,CY226671,1.0,3
608,CY255433,1.0,3
609,MG431374,1.0,4
610,MG431371,1.0,4
611,MG431372,1.0,4
612,MG431385,1.0,4
613,MF599428,1.0,4
614,MF599426,1.0,4
615,MF599423,1.0,4
616,MG431387,1.0,4
617,MF599430,1.0,4
618,MF599429,1.0,4
619,MG431388,1.0,4
620,MG431380,1.0,4
621,MF599431,1.0,4
622,MG431389,1.0,3
623,MF599425,1.0,3
624,MG431383,1.0,3
625,MF599419,1.0,3
626,MF599422,1.0,3
627,MF599432,1.0,3
628,MG431375,1.0,3
629,MF599420,1.0,3
630,KY116222,1.0,3
631,CY243928,1.0,3
632,CY227598,1.0,3
633,CY221902,1.0,3
634,CY223125,1.0,3
635,CY223934,1.0,3
636,CY244233,1.0,3
637,CY243895,1.0,3
638,MF182521,1.0,3
639,CY210496,1.0,3
640,CY227422,1.0,3
641,CY213114,1.0,3
642,CY218198,1.0,3
643,CY226519,1.0,3
644,CY221854,1.0,3
645,CY244251,1.0,3
646,CY214346,1.0,3
647,CY220479,1.0,3
648,KY115878,1.0,3
649,CY212033,1.0,3
650,CY235456,1.0,3
651,CY219201,1.0,3
652,KY289497,1.0,3
653,CY231132,1.0,3
654,MG984158,1.0,4
655,MG984505,1.0,4
656,MG984305,1.0,4
657,MG984441,1.0,4
658,MG984345,1.0,4
659,MG984425,1.0,4
660,MG984128,1.0,4
661,MG984353,1.0,4
662,MG984489,1.0,4
663,MH131222,0.8,5
664,MH083124,0.8,5
665,MH393254,0.8,5
666,CY258348,0.8,5
667,CY265205,0.8,5
668,CY260985,0.8,5
669,CY243694,0.8,5
670,CY245054,0.8,5
671,MH601554,1.0,4
672,CY255789,1.0,4
673,MG198920,1.0,4
674,MH393252,1.0,4
675,CY260356,1.0,5
676,CY256181,1.0,5
677,MH294882,1.0,5
678,MH294726,1.0,5
679,CY263200,1.0,5
680,MH601850,1.0,5
681,CY265149,1.0,5
682,CY257989,1.0,5
683,MH127113,1.0,5
684,CY256125,1.0,5
685,CY244729,1.0,5
686,CY256117,1.0,5
687,CY255877,1.0,5
688,CY247182,1.0,5
689,CY258436,1.0,5
690,CY239992,1.0,5
691,CY250675,1.0,5
692,CY244721,1.0,5
693,CY246982,1.0,5
694,CY243758,1.0,5
695,CY261439,1.0,5
696,MH586036,1.0,5
697,CY250651,1.0,5
698,MH294727,1.0,5
699,CY255885,1.0,5
700,CY261431,1.0,5
701,CY264561,1.0,5
702,CY245398,1.0,5
703,CY258084,1.0,5
704,CY249979,1.0,4
705,MH127021,1.0,4
706,MH701396,1.0,4
707,CY260889,1.0,4
708,MH246802,1.0,4
709,CY250115,1.0,4
710,CY240031,1.0,4
711,CY249835,1.0,4
712,CY257765,1.0,4
713,CY260747,1.0,4
714,MG066683,1.0,3
715,MG066690,1.0,3
716,CY234874,1.0,3
717,CY214594,1.0,3
718,CY227118,1.0,3
719,CY222005,1.0,3
720,CY211898,1.0,3
721,CY244120,1.0,3
722,MF182500,1.0,3
723,MF182499,1.0,3
724,CY212706,1.0,3
725,CY214226,1.0,3
726,CY258999,1.0,3
727,CY258991,1.0,3
728,CY224014,1.0,3
729,CY244256,1.0,3
730,CY238569,1.0,3
731,CY234562,1.0,4
732,CY216473,1.0,4
733,MF182496,1.0,4
734,CY234810,1.0,4
735,CY232578,1.0,4
736,CY228781,1.0,4
737,CY230602,1.0,4
738,CY216193,1.0,4
739,CY244155,1.0,4
740,CY230277,1.0,4
741,CY244169,1.0,4
742,CY244156,1.0,4
743,CY244390,1.0,4
744,CY244222,1.0,4
745,CY244005,1.0,4
746,CY244229,1.0,4
747,CY234991,1.0,4
748,CY243944,1.0,4
749,CY234466,1.0,4
750,CY224094,1.0,4
751,CY214426,1.0,3
752,CY226759,0.75,4
753,CY230085,0.75,4
754,CY232356,0.75,4
755,CY234490,0.75,4
756,CY233432,0.75,4
757,CY226767,0.75,4
758,CY228933,0.75,4
759,CY233448,0.75,4
760,CY227926,0.75,4
761,CY227566,1.0,3
762,CY234682,1.0,3
763,CY227502,1.0,3
764,CY213234,1.0,3
765,CY223734,1.0,3
766,CY232610,1.0,3
767,CY222853,1.0,3
768,CY244014,1.0,3
769,CY226791,1.0,3
770,CY216121,1.0,3
771,CY220519,1.0,3
772,CY226695,1.0,3
773,CY224838,1.0,3
774,CY230738,1.0,3
775,CY223838,1.0,3
776,CY210727,1.0,3
777,CY234887,1.0,3
778,CY244136,1.0,3
779,CY234920,1.0,3
780,CY211978,1.0,3
781,CY210306,1.0,3
782,CY226655,1.0,3
783,CY226623,1.0,3
784,CY226567,1.0,3
785,CY226607,1.0,3
786,CY230538,1.0,3
787,CY214818,1.0,3
788,CY234216,1.0,3
789,CY211779,1.0,3
790,KY116182,1.0,3
791,CY235018,1.0,3
792,CY259303,1.0,3
793,CY227526,1.0,3
794,CY212041,1.0,3
795,CY244171,1.0,3
796,CY250547,1.0,3
797,CY240055,1.0,3
798,CY222805,1.0,3
799,CY228805,1.0,3
800,KY289450,1.0,3
801,CY222965,1.0,3
802,CY210807,1.0,3
803,CY216049,1.0,3
804,CY222917,1.0,3
805,CY220255,1.0,3
806,CY243965,1.0,3
807,CY243901,1.0,3
808,CY239713,1.0,3
809,CY210583,1.0,3
810,CY235840,1.0,3
811,CY216561,1.0,3
812,CY216017,1.0,3
813,CY243947,1.0,3
814,CY227694,1.0,3
815,KY435815,1.0,3
816,CY234936,1.0,3
817,CY244022,1.0,3
818,CY243894,1.0,3
819,MF182528,1.0,3
820,MF182527,1.0,3
821,KY583625,1.0,3
822,CY244235,1.0,3
823,CY244048,1.0,3
824,CY243980,1.0,3
825,KY949820,1.0,3
826,CY244553,1.0,3
827,KY950005,1.0,3
828,KY949883,1.0,3
829,KY950048,1.0,3
830,CY228429,1.0,3
831,CY244040,1.0,3
832,CY235880,1.0,3
833,CY238561,1.0,3
834,CY230642,1.0,3
835,CY228869,1.0,3
836,CY216481,1.0,3
837,CY214434,1.0,3
838,CY223886,1.0,3
839,KY949900,1.0,3
840,CY227134,1.0,3
841,KY950099,1.0,2
842,MH358630,1.0,3
843,MH601026,1.0,3
844,MH600844,1.0,3
845,CY264353,1.0,3
846,MH082804,1.0,3
847,MH600710,1.0,3
848,MH358662,1.0,3
849,MH601049,1.0,3
850,CY261535,1.0,3
851,CY250107,1.0,3
852,MH601339,1.0,3
853,CY258180,1.0,3
854,MH126585,1.0,3
855,MH307266,1.0,3
856,MH127241,1.0,3
857,CY264870,1.0,3
858,CY234626,1.0,3
859,MF673285,1.0,3
860,MG066682,1.0,3
861,CY260849,1.0,3
862,CY256189,1.0,3
863,MH294839,1.0,3
864,CY264330,1.0,3
865,MG974948,1.0,3
866,MH126625,1.0,3
867,MH307034,1.0,3
868,MH127297,1.0,3
869,MH443532,1.0,3
870,MH307122,1.0,3
871,CY256165,1.0,3
872,CY245286,1.0,3
873,MH126606,1.0,3
874,CY258188,1.0,3
875,CY243471,1.0,3
876,CY238907,1.0,3
877,MG914339,0.8,5
878,MG914227,0.8,5
879,MG914099,0.8,5
880,CY264481,0.8,5
881,MH601769,0.8,5
882,MH701140,0.8,5
883,CY264092,0.8,5
884,CY256037,0.8,5
885,CY250091,0.8,5
886,CY261367,0.8,5
887,MH294721,0.8,5
888,MG279230,0.8,5
889,MF673284,0.8,5
890,MH294827,0.8,5
891,MG066684,0.8,5
892,CY250659,1.0,4
893,CY263184,1.0,3
894,CY263176,1.0,3
895,CY242054,1.0,3
896,CY247142,1.0,3
897,CY264409,1.0,3
898,CY249939,1.0,3
899,CY245134,1.0,3
900,MH600641,1.0,3
901,CY243567,1.0,3
902,MG830254,1.0,3
903,CY260511,1.0,3
904,CY258172,1.0,3
905,CY244681,1.0,3
906,MH585838,1.0,3
907,MH306723,1.0,3
908,MH306670,1.0,3
909,MH601410,1.0,3
910,CY242342,1.0,3
911,CY245238,1.0,3
912,CY244894,1.0,3
913,CY245142,1.0,3
914,CY250595,1.0,3
915,MG984289,1.0,3
916,MG984162,1.0,3
917,MG984313,1.0,3
918,CY244122,1.0,3
919,CY244265,1.0,3
920,MG279222,1.0,3
921,CY243935,1.0,3
922,CY228685,1.0,3
923,CY230666,1.0,3
924,CY227214,1.0,3
925,CY227574,1.0,3
926,CY244039,1.0,3
927,MG431377,1.0,3
928,MG431379,1.0,3
929,MG431378,1.0,3
930,MG431376,1.0,3
931,MG431381,1.0,3
932,CY244561,1.0,3
933,MG830948,1.0,3
934,CY266783,0.75,4
935,CY266503,0.75,4
936,CY266863,0.75,4
937,CY266415,0.75,4
938,CY266831,0.75,4
939,CY266655,0.75,4
940,CY266647,0.75,4
941,CY242278,0.75,4
942,CY243885,0.75,4
943,CY223101,0.75,4
944,CY216041,0.75,4
945,CY227318,0.75,4
946,CY242038,0.75,4
947,MG914259,1.0,3
948,MG914155,1.0,3
949,CY243503,1.0,3
950,CY244056,1.0,3
951,MG279246,1.0,3
952,CY234929,1.0,3
953,CY234968,1.0,3
954,CY240079,1.0,3
955,CY247134,1.0,3
956,CY266703,1.0,3
957,CY266367,1.0,3
958,CY266679,1.0,3
959,CY266471,1.0,3
960,CY226671,1.0,3
961,CY255433,1.0,3
962,MG431374,1.0,4
963,MG431371,1.0,4
964,MG431372,1.0,4
965,MG431385,1.0,4
966,MF599428,1.0,4
967,MF599426,1.0,4
968,MF599423,1.0,4
969,MG431387,1.0,4
970,MF599430,1.0,4
971,MF599429,1.0,4
972,MG431388,1.0,4
973,MG431380,1.0,4
974,MF599431,1.0,4
975,MG431389,1.0,3
976,MF599425,1.0,3
977,MG431383,1.0,3
978,MF599419,1.0,3
979,MF599422,1.0,3
980,MF599432,1.0,3
981,MG431375,1.0,3
982,MF599420,1.0,3
983,KY116222,1.0,3
984,CY243928,1.0,3
985,CY227598,1.0,3
986,CY221902,1.0,3
987,CY223125,1.0,3
988,CY223934,1.0,3
989,CY244233,1.0,3
990,CY243895,1.0,3
991,MF182521,1.0,3
992,CY210496,1.0,3
993,CY227422,1.0,3
994,CY213114,1.0,3
995,CY218198,1.0,3
996,CY226519,1.0,3
997,CY221854,1.0,3
998,CY244251,1.0,3
999,CY214346,1.0,3
1000,CY220479,1.0,3
1001,KY115878,1.0,3
1002,CY212033,1.0,3
1003,CY235456,1.0,3
1004,CY219201,1.0,3
1005,KY289497,1.0,3
1006,CY231132,1.0,3
1007,MG984158,1.0,4
1008,MG984505,1.0,4
1009,MG984305,1.0,4
1010,MG984441,1.0,4
1011,MG984345,1.0,4
1012,MG984425,1.0,4
1013,MG984128,1.0,4
1014,MG984353,1.0,4
1015,MG984489,1.0,4
1016,MH131222,0.8,5
1017,MH083124,0.8,5
1018,MH393254,0.8,5
1019,CY258348,0.8,5
1020,CY265205,0.8,5
1021,CY260985,0.8,5
1022,CY243694,0.8,5
1023,CY245054,0.8,5
1024,MH601554,1.0,4
1025,CY255789,1.0,4
1026,MG198920,1.0,4
1027,MH393252,1.0,4
1028,CY260356,1.0,5
1029,CY256181,1.0,5
1030,MH294882,1.0,5
1031,MH294726,1.0,5
1032,CY263200,1.0,5
1033,MH601850,1.0,5
1034,CY265149,1.0,5
1035,CY257989,1.0,5
1036,MH127113,1.0,5
1037,CY256125,1.0,5
1038,CY244729,1.0,5
1039,CY256117,1.0,5
1040,CY255877,1.0,5
1041,CY247182,1.0,5
1042,CY258436,1.0,5
1043,CY239992,1.0,5
1044,CY250675,1.0,5
1045,CY244721,1.0,5
1046,CY246982,1.0,5
1047,CY243758,1.0,5
1048,CY261439,1.0,5
1049,MH586036,1.0,5
1050,CY250651,1.0,5
1051,MH294727,1.0,5
1052,CY255885,1.0,5
1053,CY261431,1.0,5
1054,CY264561,1.0,5
1055,CY245398,1.0,5
1056,CY258084,1.0,5
1057,CY249979,1.0,4
1058,MH127021,1.0,4
1059,MH701396,1.0,4
1060,CY260889,1.0,4
1061,MH246802,1.0,4
1062,CY250115,1.0,4
1063,CY240031,1.0,4
1064,CY249835,1.0,4
1065,CY257765,1.0,4
1066,CY260747,1.0,4
1067,MG066683,1.0,3
1068,MG066690,1.0,3
