"","tiplabel","longlabel","stringdates","refclade"
"53","CY263176","CY263176,A/Virginia/34/2017,2017/11/24","2017/11/24","A1b/135K"
"54","CY242054","CY242054,A/West","054,A/West","A1b/135K"
"55","CY247142","CY247142,A/Georgia/10/2017,2017/06/13","2017/06/13","A1b/135K"
"56","CY264409","CY264409,A/Tennessee/59/2017,2017/11/24","2017/11/24","A1b/135K"
"57","CY249939","CY249939,A/Wisconsin/327/2017,2017/09/22","2017/09/22","A1b/135K"
"58","CY245134","CY245134,A/Alaska/57/2017,2017/09/01","2017/09/01","A1b/135K"
"59","MH600641","MH600641,A/District","A/District","A1b/135K"
"60","CY243567","CY243567,A/Alaska/32/2017,2017/06/30","2017/06/30","A1b/135K"
"61","MG830254","MG830254,A/North","54,A/North","A1b"
"62","CY260511","CY260511,A/North","11,A/North","A1b"
"63","CY258172","CY258172,A/South","72,A/South","A1b"
"64","CY244681","CY244681,A/Ohio/36/2017,2017/08/21","2017/08/21","A1b"
"65","MH585838","MH585838,A/Wyoming/10/2018,2018/02/05","2018/02/05","A1b"
"66","MH306723","MH306723,A/South","23,A/South","A1b"
"67","MH306670","MH306670,A/Vermont/12/2018,2018/03/07","2018/03/07","A1b"
"68","MH601410","MH601410,A/Illinois/25/2018,2018/01/07","2018/01/07","A1b"
"69","CY242342","CY242342,A/Connecticut/26/2017,2017/07/23","2017/07/23","A1b"
"70","CY245238","CY245238,A/Michigan/282/2017,2017/08/29","2017/08/29","A1b"
"71","CY244894","CY244894,A/Virginia/30/2017,2017/08/30","2017/08/30","A1b"
"72","CY245142","CY245142,A/Alaska/56/2017,2017/08/31","2017/08/31","A1b"
"73","CY250595","CY250595,A/Wisconsin/330/2017,2017/09/29","2017/09/29","A1b"
"74","MG984289","MG984289,A/Shanghai/29/2017,2017/05/16","2017/05/16","A1b/135K"
"75","MG984162","MG984162,A/Shanghai/60/2017,2017/09/27","2017/09/27","A1b/135K"
"76","MG984313","MG984313,A/Shanghai/31/2017,2017/06/23","2017/06/23","A1b"
"77","CY244122","CY244122,A/Oklahoma/6010/2017,2017/02/06","2017/02/06","A1b"
"78","CY244265","CY244265,A/Oklahoma/6153/2017,2017/03/06","2017/03/06","A1b"
"79","MG279222","MG279222,A/Singapore/NHRC_RGN0208/2017,2017/07/03","2017/07/03","A1b"
"80","CY243935","CY243935,A/Japan/5823/2017,2017/01/21","2017/01/21","A1b"
"81","CY228685","CY228685,A/Hawaii/15/2017,2017/03/15","2017/03/15","A1b"
"82","CY230666","CY230666,A/Hawaii/17/2017,2017/03/20","2017/03/20","A1b/135K"
"83","CY227214","CY227214,A/Connecticut/10/2017,2017/02/10","2017/02/10","A1b"
"84","CY227574","CY227574,A/Connecticut/13/2017,2017/03/05","2017/03/05","A1b"
"85","CY244039","CY244039,A/Connecticut/5927/2017,2017/02/08","2017/02/08","A1b"
"86","MG431377","MG431377,A/Kenya/031/2017,2017/07/03","2017/07/03","A1b"
"87","MG431379","MG431379,A/Kenya/033/2017,2017/07/04","2017/07/04","A1b"
"88","MG431378","MG431378,A/Kenya/029/2017,2017/07/03","2017/07/03","A1b"
"89","MG431376","MG431376,A/Kenya/032/2017,2017/07/13","2017/07/13","A1b"
"90","MG431381","MG431381,A/Kenya/035/2017,2017/07/27","2017/07/27","A1b"
"91","CY244561","CY244561,A/Massachusetts/14/2017,2017/07/13","2017/07/13","A1b"
"92","MG830948","MG830948,A/Connecticut/38/2017,2017/12/08","2017/12/08","A1b"
"93","CY266783","CY266783,A/Nicaragua/8540_14/2017,2017/07/30","2017/07/30","A1b"
"94","CY266503","CY266503,A/Nicaragua/6714_05/2017,2017/08/09","2017/08/09","A1b"
"95","CY266863","CY266863,A/Nicaragua/9065_11/2017,2017/07/28","2017/07/28","A1b"
"96","CY266415","CY266415,A/Nicaragua/9506_04/2017,2017/08/28","2017/08/28","A1b"
"97","CY266831","CY266831,A/Nicaragua/5506_06/2017,2017/08/11","2017/08/11","A1b"
"98","CY266655","CY266655,A/Nicaragua/8727_10/2017,2017/07/21","2017/07/21","A1b"
"99","CY266647","CY266647,A/Nicaragua/9508_06/2017,2017/10/11","2017/10/11","A1b"
"100","CY242278","CY242278,A/Michigan/275/2017,2017/07/20","2017/07/20","A1b"
"101","CY243885","CY243885,A/North","85,A/North","A1b"
"102","CY223101","CY223101,A/Illinois/17/2017,2017/02/20","2017/02/20","A1b"
"103","CY216041","CY216041,A/Tennessee/02/2017,2017/01/14","2017/01/14","A1b"
"104","CY227318","CY227318,A/Kentucky/17/2017,2017/02/23","2017/02/23","A1b"
"105","CY242038","CY242038,A/California/60/2017,2017/07/01","2017/07/01","A1b"
"106","MG914259","MG914259,A/California/NHRC_BRD80823N/2017,2017/10/31","2017/10/31","A1"
"107","MG914155","MG914155,A/California/NHRC_BRD12446N/2017,2017/11/06","2017/11/06","A1"
"108","CY243503","CY243503,A/Pennsylvania/257/2017,2017/08/08","2017/08/08","A1b"
"109","CY244056","CY244056,A/Maryland/5944/2017,2017/02/08","2017/02/08","A1b"
"110","MG279246","MG279246,A/South","46,A/South","A1b"
"111","CY234929","CY234929,A/New","4929,A/New","A1b"
"112","CY234968","CY234968,A/Kansas/5686/2016,2016/12/23","2016/12/23","A1b"
"113","CY240079","CY240079,A/Alaska/21/2017,2017/06/16","2017/06/16","A1b"
"114","CY247134","CY247134,A/Georgia/11/2017,2017/07/24","2017/07/24","A1b"
"115","CY266703","CY266703,A/Nicaragua/9452_07/2017,2017/07/21","2017/07/21","A1b"
"116","CY266367","CY266367,A/Nicaragua/4769_05/2017,2017/07/17","2017/07/17","A1b"
"117","CY266679","CY266679,A/Nicaragua/9267_07/2017,2017/07/21","2017/07/21","A1b"
"118","CY266471","CY266471,A/Nicaragua/8078_07/2017,2017/06/28","2017/06/28","A1b"
"119","CY226671","CY226671,A/Michigan/16/2017,2017/01/27","2017/01/27","3c2.A"
"120","CY255433","CY255433,A/Brisbane/299/2016,2016/10/29","2016/10/29","A1b"
"121","MG431374","MG431374,A/Kenya/020/2017,2017/05/25","2017/05/25","A1b"
"122","MG431371","MG431371,A/Kenya/017/2017,2017/05/19","2017/05/19","A1b"
"123","MG431372","MG431372,A/Kenya/018/2017,2017/05/19","2017/05/19","A1b"
"124","MG431385","MG431385,A/Kenya/028/2017,2017/06/07","2017/06/07","A1b"
"125","MF599428","MF599428,A/Kenya/010/2017,2017/03/07","2017/03/07","A1b"
"126","MF599426","MF599426,A/Kenya/008/2017,2017/03/05","2017/03/05","A1b"
"127","MF599423","MF599423,A/Kenya/007/2017,2017/03/04","2017/03/04","A1b"
"128","MG431387","MG431387,A/Kenya/023/2017,2017/03/24","2017/03/24","A1b"
"129","MF599430","MF599430,A/Kenya/013/2017,2017/03/12","2017/03/12","A1b"
"130","MF599429","MF599429,A/Kenya/012/2017,2017/03/10","2017/03/10","A1b"
"131","MG431388","MG431388,A/Kenya/024/2017,2017/03/27","2017/03/27","A1b"
"132","MG431380","MG431380,A/Kenya/034/2017,2017/07/26","2017/07/26","A1b"
"133","MF599431","MF599431,A/Kenya/003/2017,2017/02/01","2017/02/01","A1b"
"134","MG431389","MG431389,A/Kenya/022/2017,2017/03/02","2017/03/02","A1b"
"135","MF599425","MF599425,A/Kenya/004/2017,2017/03/01","2017/03/01","A1b"
"136","MG431383","MG431383,A/Kenya/026/2017,2017/05/25","2017/05/25","A1b"
"137","MF599419","MF599419,A/Kenya/009/2017,2017/03/06","2017/03/06","A1b"
"138","MF599422","MF599422,A/Kenya/015/2017,2017/04/03","2017/04/03","A1b"
"139","MF599432","MF599432,A/Kenya/016/2017,2017/04/04","2017/04/04","A1b"
"140","MG431375","MG431375,A/Kenya/021/2017,2017/05/25","2017/05/25","A1b"
"141","MF599420","MF599420,A/Kenya/011/2017,2017/03/08","2017/03/08","A1b"
"142","KY116222","KY116222,A/Pennsylvania/88/2016,2016/09/27","2016/09/27","A1b"
"143","CY243928","CY243928,A/Colorado/5816/2017,2017/01/03","2017/01/03","A1b"
"144","CY227598","CY227598,A/Iowa/14/2017,2017/03/13","2017/03/13","A1b"
"145","CY221902","CY221902,A/Nebraska/03/2017,2017/01/19","2017/01/19","A1b"
"146","CY223125","CY223125,A/Illinois/19/2017,2017/02/22","2017/02/22","A1b"
"147","CY223934","CY223934,A/Georgia/06/2017,2017/02/15","2017/02/15","A1b"
"148","CY244233","CY244233,A/Mississippi/6121/2017,2017/03/01","2017/03/01","A1b"
"149","CY243895","CY243895,A/South","95,A/South","A1b"
"150","MF182521","MF182521,A/South","21,A/South","A1b"
"151","CY210496","CY210496,A/North","96,A/North","A1b"
"152","CY227422","CY227422,A/North","22,A/North","A1b"
"153","CY213114","CY213114,A/Tennessee/34/2016,2016/12/12","2016/12/12","A1b"
"154","CY218198","CY218198,A/Pennsylvania/117/2016,2016/12/28","2016/12/28","A1b"
"155","CY226519","CY226519,A/Pennsylvania/117/2016,2016/12/28","2016/12/28","A1b"
"156","CY221854","CY221854,A/Texas/46/2017,2017/02/13","2017/02/13","A1b"
"157","CY244251","CY244251,A/North","51,A/North","A1b"
"158","CY214346","CY214346,A/Pennsylvania/01/2017,2017/01/10","2017/01/10","A1b"
"159","CY220479","CY220479,A/Vermont/04/2017,2017/02/01","2017/02/01","A1b"
"160","KY115878","KY115878,A/Michigan/100/2016,2016/08/31","2016/08/31","A1b"
"161","CY212033","CY212033,A/Wisconsin/98/2016,2016/12/06","2016/12/06","A1b"
"162","CY235456","CY235456,A/Wisconsin/98/2016,2016/12/06","2016/12/06","A1b"
"163","CY219201","CY219201,A/Florida/06/2017,2017/01/26","2017/01/26","A1b"
"164","KY289497","KY289497,A/Texas/190/2016,2016/10/21","2016/10/21","A1b"
"165","CY231132","CY231132,A/Massachusetts/09/2017,2017/03/09","2017/03/09","A1b"
"166","MG984158","MG984158,A/Shanghai/58/2017,2017/09/21","2017/09/21","A1b/135N"
"167","MG984505","MG984505,A/Shanghai/53/2017,2017/09/13","2017/09/13","A1b/135N"
"168","MG984305","MG984305,A/Shanghai/30/2017,2017/06/23","2017/06/23","A1b/135N"
"169","MG984441","MG984441,A/Shanghai/46/2017,2017/08/29","2017/08/29","A1b/135N"
"170","MG984345","MG984345,A/Shanghai/35/2017,2017/07/31","2017/07/31","A1b/135N"
"171","MG984425","MG984425,A/Shanghai/44/2017,2017/08/23","2017/08/23","A1b/135N"
"172","MG984128","MG984128,A/Shanghai/62/2017,2017/09/29","2017/09/29","A1b/135N"
"173","MG984353","MG984353,A/Shanghai/36/2017,2017/08/09","2017/08/09","A1b/135N"
"174","MG984489","MG984489,A/Shanghai/51/2017,2017/09/08","2017/09/08","A1b/135N"
"175","MH131222","MH131222,A/Alaska/90/2017,2017/11/17","2017/11/17","A1b/135N"
"176","MH083124","MH083124,A/Wisconsin/350/2017,2017/12/19","2017/12/19","A1b/135N"
"177","MH393254","MH393254,A/China/S111/2017,2017/09/20","2017/09/20","A1b/135N"
"178","CY258348","CY258348,A/New","8348,A/New","A1b/135N"
"179","CY265205","CY265205,A/California/144/2017,2017/11/20","2017/11/20","A1b/135N"
"180","CY260985","CY260985,A/New","0985,A/New","A1b/135N"
"181","CY243694","CY243694,A/Iowa/24/2017,2017/08/03","2017/08/03","A1b/135N"
"182","CY245054","CY245054,A/New","5054,A/New","A1b/135N"
"183","MH601554","MH601554,A/Illinois/54/2017,2017/10/06","2017/10/06","A1b/135N"
"184","CY255789","CY255789,A/New","5789,A/New","A1b/135N"
"185","MG198920","MG198920,A/Guangdong/SKLRD01/2017,2017/07/15","2017/07/15","A1b/135N"
"186","MH393252","MH393252,A/China/585/2017,2017/06/09","2017/06/09","A1b/135N"
"187","CY260356","CY260356,A/California/86/2017,2017/10/03","2017/10/03","A1b/135N"
"188","CY256181","CY256181,A/Washington/304/2017,2017/09/30","2017/09/30","A1b/135N"
"189","MH294882","MH294882,A/Alaska/6516/2017,2017/12/29","2017/12/29","A1b/135N"
"190","MH294726","MH294726,A/South","26,A/South","A1b/135N"
"191","CY263200","CY263200,A/North","00,A/North","A1b/135N"
"192","MH601850","MH601850,A/North","50,A/North","A1b/135N"
"193","CY265149","CY265149,A/Utah/44/2017,2017/12/09","2017/12/09","A1b/135N"
"194","CY257989","CY257989,A/Michigan/298/2017,2017/10/13","2017/10/13","A1b/135N"
"195","MH127113","MH127113,A/Oklahoma/06/2018,2018/01/31","2018/01/31","A1b/135N"
"196","CY256125","CY256125,A/California/92/2017,2017/10/17","2017/10/17","A1b/135N"
"197","CY244729","CY244729,A/Michigan/278/2017,2017/08/15","2017/08/15","A1b/135N"
"198","CY256117","CY256117,A/California/91/2017,2017/10/16","2017/10/16","A1b/135N"
"199","CY255877","CY255877,A/Maryland/83/2017,2017/10/09","2017/10/09","A1b/135N"
"200","CY247182","CY247182,A/Delaware/30/2017,2017/09/17","2017/09/17","A1b/135N"
"201","CY258436","CY258436,A/Montana/27/2017,2017/10/19","2017/10/19","A1b/135N"
"202","CY239992","CY239992,A/Michigan/268/2017,2017/06/19","2017/06/19","A1b/135N"
"203","CY250675","CY250675,A/Missouri/31/2017,2017/10/19","2017/10/19","A1b/135N"
"204","CY244721","CY244721,A/Michigan/276/2017,2017/08/11","2017/08/11","A1b/135N"
"205","CY246982","CY246982,A/Maryland/47/2017,2017/09/11","2017/09/11","A1b/135N"
"206","CY243758","CY243758,A/Missouri/28/2017,2017/08/14","2017/08/14","A1b/135N"
"207","CY261439","CY261439,A/South","39,A/South","A1b/135N"
"208","MH586036","MH586036,A/Louisiana/04/2018,2018/01/02","2018/01/02","A1b/135N"
"209","CY250651","CY250651,A/Texas/290/2017,2017/10/18","2017/10/18","A1b/135N"
"210","MH294727","MH294727,A/South","27,A/South","A1b/135N"
"211","CY255885","CY255885,A/New","5885,A/New","A1b/135N"
"212","CY261431","CY261431,A/Oklahoma/33/2017,2017/11/20","2017/11/20","A1b/135N"
"213","CY264561","CY264561,A/Pennsylvania/270/2017,2017/12/05","2017/12/05","A1b/135N"
"214","CY245398","CY245398,A/Connecticut/30/2017,2017/09/09","2017/09/09","A1b/135N"
"215","CY258084","CY258084,A/North","84,A/North","A1b/135N"
"216","CY249979","CY249979,A/New","9979,A/New","A1b/135N"
"217","MH127021","MH127021,A/New","7021,A/New","A1b/135N"
"218","MH701396","MH701396,A/California/NEPMU5-ILI-0016/2018,2018/01/16","2018/01/16","A1b/135N"
"219","CY260889","CY260889,A/Missouri/37/2017,2017/11/08","2017/11/08","A1b/135N"
"220","MH246802","MH246802,A/Tennessee/74/2017,2017/12/04","2017/12/04","A1b/135N"
"221","CY250115","CY250115,A/Louisiana/54/2017,2017/10/09","2017/10/09","A1b/135N"
"222","CY240031","CY240031,A/New","0031,A/New","A1b/135N"
"223","CY249835","CY249835,A/Maryland/53/2017,2017/09/28","2017/09/28","A1b/135N"
"224","CY257765","CY257765,A/Maryland/82/2017,2017/10/09","2017/10/09","A1b/135N"
"225","CY260747","CY260747,A/Kansas/10/2017,2017/11/19","2017/11/19","A1b/135N"
"226","MG066683","MG066683,A/Israel/C3607/2017,2017/03/20","2017/03/20","A1b"
"227","MG066690","MG066690,A/Israel/C3505/2017,2017/03/17","2017/03/17","A1b"
"228","CY234874","CY234874,A/Maryland/36/2017,2017/04/29","2017/04/29","A1b"
"229","CY214594","CY214594,A/New","4594,A/New","A1b"
"230","CY227118","CY227118,A/Maryland/11/2017,2017/01/28","2017/01/28","A1b"
"231","CY222005","CY222005,A/Idaho/09/2017,2017/01/24","2017/01/24","A1b"
"232","CY211898","CY211898,A/Arizona/78/2016,2016/11/24","2016/11/24","A1b"
"233","CY244120","CY244120,A/Oklahoma/6008/2017,2017/02/02","2017/02/02","A1b"
"234","MF182500","MF182500,A/Georgia/NHRC_68650/2017,2017/01/24","2017/01/24","A1b"
"235","MF182499","MF182499,A/Georgia/NHRC_68645/2017,2017/01/17","2017/01/17","A1b"
"236","CY212706","CY212706,A/Illinois/52/2016,2016/12/13","2016/12/13","A1b"
"237","CY214226","CY214226,A/Kansas/28/2016,2016/12/21","2016/12/21","A1b"
"238","CY258999","CY258999,A/New","8999,A/New","A1b"
"239","CY258991","CY258991,A/New","8991,A/New","A1b"
"240","CY224014","CY224014,A/North","14,A/North","A1b"
"241","CY244256","CY244256,A/Ohio/6144/2017,2017/03/08","2017/03/08","A1b"
"242","CY238569","CY238569,A/Texas/104/2017,2017/03/31","2017/03/31","A1b"
"243","CY234562","CY234562,A/Florida/36/2017,2017/04/19","2017/04/19","A1b"
"244","CY216473","CY216473,A/Connecticut/03/2017,2017/01/09","2017/01/09","A1b"
"245","MF182496","MF182496,A/California/NHRC_SEA041/2017,2017/02/07","2017/02/07","A1b"
"246","CY234810","CY234810,A/Wisconsin/312/2017,2017/05/01","2017/05/01","A1b"
"247","CY232578","CY232578,A/North","78,A/North","A1b"
"248","CY228781","CY228781,A/New","8781,A/New","A1b"
"249","CY230602","CY230602,A/Oregon/12/2017,2017/03/14","2017/03/14","A1b"
"250","CY216193","CY216193,A/Louisiana/03/2017,2017/01/11","2017/01/11","A1b"
"251","CY244155","CY244155,A/Delaware/6043/2017,2017/02/15","2017/02/15","A1b"
"252","CY230277","CY230277,A/Tennessee/26/2017,2017/03/10","2017/03/10","A1b"
"253","CY244169","CY244169,A/New","4169,A/New","A1b"
"254","CY244156","CY244156,A/District","A/District","3c2.A"
"255","CY244390","CY244390,A/Kansas/6278/2017,2017/03/07","2017/03/07","A1b"
"256","CY244222","CY244222,A/Illinois/6110/2017,2017/03/01","2017/03/01","A1b"
"257","CY244005","CY244005,A/Maryland/5893/2017,2017/01/14","2017/01/14","A1b"
"258","CY244229","CY244229,A/Maryland/6117/2017,2017/02/24","2017/02/24","A1b"
"259","CY234991","CY234991,A/Texas/5709/2016,2016/12/24","2016/12/24","A1b"
"260","CY243944","CY243944,A/New","3944,A/New","A1b"
"261","CY234466","CY234466,A/Maryland/32/2017,2017/04/10","2017/04/10","A1b"
"262","CY224094","CY224094,A/Oregon/10/2017,2017/02/23","2017/02/23","A1b"
"263","CY214426","CY214426,A/Pennsylvania/105/2016,2016/12/17","2016/12/17","A1b"
"264","CY226759","CY226759,A/Michigan/11/2017,2017/01/19","2017/01/19","A1"
"265","CY230085","CY230085,A/Michigan/25/2017,2017/02/13","2017/02/13","A1"
"266","CY232356","CY232356,A/Ohio/10/2017,2017/04/04","2017/04/04","A1"
"267","CY234490","CY234490,A/Massachusetts/12/2017,2017/04/07","2017/04/07","A1"
"268","CY233432","CY233432,A/Michigan/45/2017,2017/03/22","2017/03/22","A1"
"269","CY226767","CY226767,A/Michigan/13/2017,2017/01/23","2017/01/23","A1"
"270","CY228933","CY228933,A/Michigan/51/2017,2017/03/30","2017/03/30","A1"
"271","CY233448","CY233448,A/Michigan/46/2017,2017/03/27","2017/03/27","A1"
"272","CY227926","CY227926,A/South","26,A/South","A1"
"273","CY227566","CY227566,A/New","7566,A/New","A1b"
"274","CY234682","CY234682,A/Minnesota/29/2017,2017/04/29","2017/04/29","A1b"
"275","CY227502","CY227502,A/Texas/68/2017,2017/03/01","2017/03/01","A1b"
"276","CY213234","CY213234,A/New","3234,A/New","A1b"
"277","CY223734","CY223734,A/Florida/10/2017,2017/02/08","2017/02/08","A1b"
"278","CY232610","CY232610,A/Michigan/53/2017,2017/04/16","2017/04/16","A1b"
"279","CY222853","CY222853,A/Arkansas/11/2017,2017/01/30","2017/01/30","A1b"
"280","CY244014","CY244014,A/North","14,A/North","A1b"
"281","CY226791","CY226791,A/Texas/209/2016,2016/12/21","2016/12/21","A1b"
"282","CY216121","CY216121,A/Pennsylvania/119/2016,2016/12/30","2016/12/30","A1b"
"283","CY220519","CY220519,A/North","19,A/North","A1b"
"284","CY226695","CY226695,A/Michigan/18/2017,2017/02/07","2017/02/07","A1b"
"285","CY224838","CY224838,A/Delaware/15/2017,2017/02/24","2017/02/24","A1b"
"286","CY230738","CY230738,A/Alaska/12/2017,2017/03/30","2017/03/30","A1b"
"287","CY223838","CY223838,A/Rhode","38,A/Rhode","A1b"
"288","CY210727","CY210727,A/Maryland/24/2016,2016/11/29","2016/11/29","A1b"
"289","CY234887","CY234887,A/Japan/5605/2016,2016/11/02","2016/11/02","A1b"
"290","CY244136","CY244136,A/Utah/6024/2017,2017/02/02","2017/02/02","A1b"
"291","CY234920","CY234920,A/Japan/5638/2016,2016/12/08","2016/12/08","A1b"
"292","CY211978","CY211978,A/North","78,A/North","A1b"
"293","CY210306","CY210306,A/Connecticut/37/2016,2016/11/05","2016/11/05","A1b"
"294","CY226655","CY226655,A/Tennessee/13/2017,2017/01/26","2017/01/26","A1b"
"295","CY226623","CY226623,A/Tennessee/07/2017,2017/01/09","2017/01/09","A1b"
"296","CY226567","CY226567,A/Tennessee/39/2016,2016/12/16","2016/12/16","A1b"
"297","CY226607","CY226607,A/Tennessee/12/2017,2017/01/24","2017/01/24","A1b"
"298","CY230538","CY230538,A/Arizona/14/2017,2017/02/25","2017/02/25","A1b"
"299","CY214818","CY214818,A/Texas/10/2017,2017/01/10","2017/01/10","A1b"
"300","CY234216","CY234216,A/South","16,A/South","A1b"
"301","CY211779","CY211779,A/Texas/191/2016,2016/12/03","2016/12/03","A1"
"302","KY116182","KY116182,A/Wisconsin/85/2016,2016/10/02","2016/10/02","A1b"
"303","CY235018","CY235018,A/New","5018,A/New","A1b"
"304","CY259303","CY259303,A/New","9303,A/New","A1b"
"305","CY227526","CY227526,A/Pennsylvania/27/2017,2017/03/06","2017/03/06","A1b"
"306","CY212041","CY212041,A/Maine/24/2016,2016/12/08","2016/12/08","A1b"
"307","CY244171","CY244171,A/New","4171,A/New","A1b"
"308","CY250547","CY250547,A/Illinois/31/2017,2017/09/10","2017/09/10","A1b"
"309","CY240055","CY240055,A/Connecticut/25/2017,2017/06/24","2017/06/24","A1b"
"310","CY222805","CY222805,A/New","2805,A/New","A1b"
"311","CY228805","CY228805,A/New","8805,A/New","A1b"
"312","KY289450","KY289450,A/California/144/2016,2016/10/27","2016/10/27","A1b"
"313","CY222965","CY222965,A/Montana/72/2016,2016/02/07","2016/02/07","A1b"
"314","CY210807","CY210807,A/Virginia/63/2016,2016/11/30","2016/11/30","A1b"
"315","CY216049","CY216049,A/Tennessee/04/2017,2017/01/15","2017/01/15","A1b"
"316","CY222917","CY222917,A/Mississippi/08/2017,2017/02/23","2017/02/23","A1b"
"317","CY220255","CY220255,A/California/18/2017,2017/01/28","2017/01/28","A1b"
"318","CY243965","CY243965,A/Texas/5853/2017,2017/01/04","2017/01/04","A1b"
"319","CY243901","CY243901,A/Texas/5789/2017,2017/01/05","2017/01/05","A1b"
"320","CY239713","CY239713,A/Alaska/08/2017,2017/02/13","2017/02/13","A1b"
"321","CY210583","CY210583,A/Florida/96/2016,2016/11/15","2016/11/15","A1b"
"322","CY235840","CY235840,A/South","40,A/South","A1b"
"323","CY216561","CY216561,A/South","61,A/South","A1b"
