"","D_Lab","Date"
"13016","HM189360","2009/11/10"
"13002","HM189358","2009/11/18"
"11660","KP637846","2009/08/29"
"10948","CY044220","2009/05/28"
"9795","CY044179","2009/06/18"
"1745","GQ402203","2009/05/21"
"9644","GQ200287","2009/05/10"
"1747","GQ402206","2009/05/30"
"11802","CY045970","2009/06/09"
"1743","GQ402200","2009/05/20"
"1744","GQ402202","2009/05/22"
"8551","CY060742","2009/06/15"
"8552","CY060750","2009/06/15"
"6638","KM219046","2009/08/07"
"6659","KM219033","2009/09/08"
"8824","CY103913","2009/07/25"
"8840","CY103935","2009/10/03"
"9098","KC967090","2009/07/27"
"630","CY072086","2010/03/19"
"628","CY072084","2010/03/19"
"629","CY072085","2010/03/19"
"11645","CY074998","2009/09/03"
"6637","KM219045","2009/08/07"
"3249","CY069146","2009/11/23"
"3588","CY120923","2009/12/11"
"10075","CY049659","2009/08/06"
"10133","CY123183","2009/09/16"
"10383","CY123775","2009/09/23"
"9992","KT181184","2009/09/16"
"9757","JQ065169","2009/10/22"
"10354","CY123608","2009/08/28"
"10079","CY122943","2009/08/05"
"10386","CY123790","2009/10/01"
"10391","CY123804","2009/10/13"
"10123","CY123165","2009/09/08"
"752","KM013725","2009/07/30"
"10345","CY123540","2009/08/19"
"11597","GQ866951","2009/06/13"
"10024","CY122695","2009/07/08"
"4108","CY112027","2009/08/05"
"4065","CY111659","2009/07/08"
"4064","JN256803","2009/07/08"
"11769","CY054622","2009/07/29"
"11650","HM752472","2009/06/15"
"4107","JN256849","2009/08/05"
"11557","CY054590","2009/06/23"
"10901","HM072423","2009/11/20"
"10899","HM072421","2009/11/03"
"10900","HM072422","2009/11/13"
"11757","CY054602","2009/07/22"
"11683","KP637462","2009/10/09"
"11762","CY054610","2009/07/20"
"11764","CY054616","2009/07/27"
"11766","CY054619","2009/07/28"
"243","GU369671","2009/11/11"
"9320","GQ915019","2009/08/01"
"11679","CY054599","2009/09/25"
"11770","CY054626","2009/08/10"
"11765","CY054618","2009/07/28"
"11560","CY054593","2009/07/29"
"11719","KP637806","2009/11/17"
"11767","CY054620","2009/07/28"
"5139","JX875039","2009/10/26"
"10584","KC781603","2009/09/17"
"10582","KC781758","2009/09/02"
"6102","KC781776","2009/08/07"
"7442","CY044965","2009/05/21"
"7394","CY041830","2009/04/28"
"11323","CY052927","2009/09/12"
"11333","CY052583","2009/09/13"
"836","CY064564","2009/06/26"
"7443","CY046955","2009/05/26"
"11785","GQ287625","2009/06/02"
"7425","CY044877","2009/05/21"
"7474","CY045191","2009/06/10"
"2486","HM567696","2009/05/31"
"8520","CY060502","2009/08/24"
"8528","CY060550","2009/09/07"
"8527","CY060542","2009/08/09"
"9309","HQ595236","2009/07/28"
"9007","JN171897","2009/10/31"
"2473","HM567600","2009/05/26"
"4221","KY925404","2009/07/31"
"9093","CY060447","2009/08/24"
"8243","HM204576","2009/09/07"
"9336","HQ595256","2009/08/25"
"779","HM189402","2009/08/12"
"9645","GQ411907","2009/06/06"
"2911","HQ228048","2009/07/07"
"11681","CY054601","2009/08/02"
"2926","HQ228063","2009/07/22"
"8873","KY925861","2009/08/20"
"7410","CY046971","2009/05/01"
"7413","CY043171","2009/05/04"
"1042","CY053238","2009/05/27"
"11178","GQ232019","2009/04/24"
"11184","GQ377061","2009/04/25"
"11251","GQ338409","2009/04/26"
"1041","CY053246","2009/05/27"
"12670","CY046851","2009/05/02"
"9196","CY083336","2009/06/15"
"4053","CY087294","2009/05/24"
"6012","GQ162172","2009/04/15"
"4048","GQ168606","2009/04/30"
"4050","GU931801","2009/04/30"
"4051","GU931802","2009/11/03"
"4052","HM100229","2009/11/03"
"6048","GQ402191","2009/04/27"
"5984","CY147771","2009/04/14"
"5980","CY147731","2009/04/28"
"11116","GQ117091","2009/04/25"
"11201","GQ894905","2009/05/02"
"11205","GQ457501","2009/05/05"
"5981","CY147739","2009/04/28"
"6212","GQ338364","2009/04/27"
"5989","CY147819","2009/04/17"
"11230","GQ338375","2009/04/29"
"1039","CY053206","2009/05/22"
"5991","CY147843","2009/04/27"
"4123","CY052959","2009/05/13"
"11269","CY051855","2009/06/12"
"1037","CY053182","2009/05/20"
"4125","CY087216","2009/06/24"
"5979","CY147699","2009/04/23"
"6000","CY147923","2009/04/28"
"769","HQ698627","2009/11/16"
"977","CY073402","2009/04/29"
"6002","CY147939","2009/04/28"
"6001","CY147931","2009/04/28"
"11013","GQ377045","2009/04/30"
"9127","CY045490","2009/05/06"
"1142","GQ377093","2009/04/22"
"1084","FJ966960","2009/04/16"
"2041","CY049820","2009/05/05"
"1186","GQ232038","2009/04/25"
"1786","CY049867","2009/05/02"
"1160","GQ232010","2009/04/21"
"1222","GQ457517","2009/05/01"
"9192","CY073350","2009/04/30"
"1080","FJ966952","2009/03/30"
"310","GQ232037","2009/04/28"
"9793","GU014804","2009/05/26"
"12314","GQ168676","2009/04/26"
"1199","GQ377085","2009/05/01"
"976","CY043086","2009/04/22"
"1141","GQ160606","2009/04/22"
"1123","GQ221818","2009/04/24"
"1788","CY050067","2009/04/28"
"1784","CY049828","2009/04/30"
"5934","CY049987","2009/06/19"
"1787","CY049875","2009/05/02"
"5990","CY147827","2009/04/20"
"9126","CY045482","2009/05/04"
"2485","CY069877","2009/05/27"
"2484","HM567688","2009/05/27"
"1742","GQ465679","2009/05/01"
"8660","GQ329100","2009/05/17"
"4247","KC782299","2009/07/31"
"10793","JF429396","2009/09/14"
"9271","CY049907","2009/05/23"
"9273","CY049939","2009/06/25"
"9276","CY049963","2009/06/30"
"9275","CY049955","2009/07/02"
"9274","CY049947","2009/07/02"
"9272","CY049915","2009/05/23"
"9277","CY049979","2009/06/25"
"4940","GQ255897","2009/05/22"
"5314","CY083583","2009/06/27"
"5867","KC781007","2009/11/07"
"9278","CY083152","2009/06/08"
"3440","MK159116","2010/03/20"
"10955","CY073733","2010/02/05"
"2106","CY083016","2010/01/25"
"3251","CY072230","2009/11/26"
"6627","CY098060","2011/01/31"
"6626","CY098052","2011/01/31"
"2975","HQ228140","2009/12/24"
"9471","CY107225","2009/11/11"
"5427","JF429394","2009/11/17"
"2409","CY070654","2009/12/14"
"10888","JN187138","2010/05/05"
"9513","CY107712","2009/11/01"
"2825","CY070597","2009/11/19"
"9525","CY107411","2009/11/10"
"8555","KC780911","2010/03/29"
"6542","JN171948","2009/12/31"
"9280","CY073049","2009/10/16"
"9279","CY083160","2009/10/18"
"2107","CY083040","2010/02/16"
"257","CY083631","2009/07/06"
"10154","CY123230","2009/10/27"
"9480","CY107333","2009/10/15"
"5688","KC780586","2010/02/08"
"1529","CY066295","2009/12/04"
"2294","CY062683","2009/11/04"
"9167","CY056140","2009/10/26"
"1277","KC780707","2009/11/24"
"1790","CY083479","2009/10/14"
"3325","KC780442","2010/01/24"
"2108","CY097789","2010/02/16"
"1670","CY062234","2009/10/09"
"7653","CY061930","2009/12/11"
"1521","CY066231","2009/11/15"
"8812","CY066775","2009/11/17"
"1673","CY063067","2009/10/09"
"7636","CY056747","2009/11/24"
"6562","JN171935","2009/10/31"
"6557","JN171930","2009/10/07"
"8996","JN171908","2009/12/08"
"5311","CY083455","2009/06/27"
"2905","HQ228037","2009/06/19"
"2495","CY065590","2009/06/02"
"2465","CY065518","2009/05/15"
"6541","JN171868","2009/04/26"
"2866","CY069805","2009/05/04"
"6029","CY097876","2009/04/25"
"9800","CY073302","2009/06/18"
"9799","CY073286","2009/06/18"
"6028","CY040888","2009/04/25"
"9189","CY073318","2009/06/12"
"9188","CY073310","2009/06/13"
"2451","CY065254","2009/04/28"
"9794","GQ166223","2009/05/10"
"1192","GQ377101","2009/04/30"
"2701","CY070638","2009/11/26"
"11354","KC782290","2009/06/26"
"9505","CY107599","2009/06/03"
"2458","CY065326","2009/05/02"
"2867","CY065366","2009/05/05"
"9436","CY065294","2009/05/03"
"3067","KC781062","2009/09/23"
"2720","CY070258","2009/07/10"
"33","CY071818","2009/12/01"
"34","CY071826","2009/12/01"
"2499","CY070721","2009/06/01"
"8656","GQ214144","2009/04/30"
"2461","HM567576","2009/05/05"
"2503","CY065662","2009/06/04"
"2502","CY069909","2009/06/04"
"2459","HM567568","2009/05/02"
"2460","CY069781","2009/05/02"
"5606","CY072566","2009/07/06"
"7450","CY045005","2009/05/28"
"10556","GQ117056","2009/04/26"
"10558","GQ231981","2009/04/26"
"10555","GQ221794","2009/04/26"
"5626","CY073561","2009/08/11"
"5613","CY072878","2009/07/12"
"5618","CY058572","2009/08/18"
"5643","CY058092","2009/06/12"
"12741","CY089992","2009/06/11"
"12841","CY051399","2009/06/10"
"12816","CY051111","2009/06/12"
"12704","CY050951","2009/06/01"
"12834","CY051247","2009/05/26"
"5594","CY073657","2009/07/27"
"5630","CY072710","2009/08/15"
"5620","CY058524","2009/06/05"
"5633","CY069258","2009/07/21"
"5601","CY073697","2009/07/14"
"5588","CY058156","2009/06/16"
"5611","CY054691","2009/06/01"
"5631","CY072622","2009/07/27"
"5632","CY058228","2009/06/13"
"5638","CY072806","2009/09/05"
"5621","CY058548","2009/06/15"
"5623","CY069290","2009/07/24"
"5597","CY058244","2009/08/15"
"5590","CY072614","2009/08/07"
"5600","CY069282","2009/07/24"
"5592","CY072742","2009/09/02"
"11295","CY052903","2009/09/03"
"5577","CY072670","2009/08/16"
"5607","CY073665","2009/08/28"
"5593","CY058180","2009/06/29"
"5914","CY064748","2009/05/01"
"7427","CY045143","2009/05/19"
"5586","CY058108","2009/06/13"
"5635","CY058124","2009/06/15"
"5634","CY073521","2009/08/07"
"5581","CY072590","2009/08/11"
"5583","CY072630","2009/07/30"
"5599","CY072854","2009/07/21"
"5622","CY069250","2009/07/06"
"5614","CY090057","2009/10/11"
"5640","CY058212","2009/06/12"
"539","CY066599","2009/12/15"
"7470","CY052122","2009/06/09"
"7469","CY045037","2009/06/09"
"5617","CY073617","2009/07/22"
"5639","CY058604","2009/08/15"
"5907","CY050174","2009/05/09"
"5642","CY058588","2009/08/25"
"5616","CY073681","2009/09/01"
"5580","CY073609","2009/08/04"
"12773","CY051007","2009/06/15"
"12814","CY051183","2009/06/21"
"4120","CY053055","2009/05/13"
"4126","CY053039","2009/05/21"
"4124","CY051903","2009/05/13"
"12749","CY046539","2009/05/08"
"2868","CY069837","2009/05/08"
"842","CY064620","2009/06/19"
"887","CY089203","2009/10/22"
"8808","CY061275","2009/11/12"
"5579","CY072942","2009/08/28"
"7350","CY041597","2009/05/02"
"12658","CY051223","2009/06/02"
"12790","CY051087","2009/06/15"
"7352","CY041146","2009/04/28"
"8659","GQ214156","2009/05/01"
"1750","GQ402194","2009/04/16"
"8522","CY076755","2009/05/27"
"12268","GQ496142","2009/07/22"
"12413","KC781559","2009/09/10"
"12353","GQ499334","2009/07/28"
"2500","CY070723","2009/05/31"
"9194","CY083296","2009/05/15"
"8583","KC781810","2009/06/18"
"4175","KC781466","2009/07/17"
"766","GQ365658","2009/04/29"
"11561","GQ169382","2009/05/06"
"11796","CY045946","2009/05/09"
"11801","GQ411897","2009/06/03"
"5911","CY064724","2009/05/02"
"12668","CY046803","2009/05/30"
"770","GQ225381","2009/05/20"
"772","GQ223408","2009/05/21"
"10575","KC781646","2009/08/27"
"6026","GQ162200","2009/04/20"
"12811","CY046515","2009/04/30"
"12737","CY089904","2009/06/18"
"12789","CY046627","2009/05/15"
"6552","JN171916","2009/06/13"
"12806","CY046747","2009/05/22"
"6555","JN171920","2009/06/19"
"12554","GQ232073","2009/05/04"
"11831","HM189401","2009/08/10"
"8651","CY052045","2009/06/30"
"12804","CY046491","2009/05/01"
"12817","CY089872","2009/05/21"
"12679","CY046499","2009/05/04"
"6017","GQ149671","2009/04/14"
"12819","CY046763","2009/05/22"
"12781","CY046259","2009/04/30"
"12655","CY051047","2009/06/04"
"3029","GQ323443","2009/04/30"
"5910","CY064708","2009/04/30"
"5961","CY062522","2009/06/14"
"12762","CY046299","2009/04/29"
"1047","CY053293","2009/06/02"
"1046","CY053285","2009/06/01"
"12683","CY051175","2009/06/20"
"1619","CY054843","2009/06/17"
"12687","CY051191","2009/06/20"
"2533","CY070183","2009/07/01"
"8901","CY075906","2009/12/23"
"8907","CY075918","2010/03/09"
"4031","CY075917","2010/03/04"
"8900","CY075905","2009/12/23"
"8897","CY075902","2009/12/05"
"6669","KM219067","2009/09/19"
"11287","CY052218","2009/08/30"
"6650","KM219058","2009/08/28"
"4806","HM204573","2009/08/30"
"6664","KM219034","2009/09/11"
"6647","KM219049","2009/08/08"
"6653","KM219028","2009/09/04"
"3671","KP317212","2009/08/08"
"3705","KP317233","2010/08/15"
"5022","KP317205","2009/08/06"
"3504","KP317239","2010/10/09"
"2227","KP317240","2010/08/20"
"2228","KP317241","2010/08/25"
"8910","KP317211","2009/11/26"
"8912","KP317235","2010/10/19"
"8911","KP317234","2010/08/21"
"1772","KP317230","2010/09/25"
"5208","KP317206","2009/08/14"
"6663","KM219069","2009/09/09"
"6634","KM219043","2009/08/07"
"6665","KM219035","2009/09/12"
"9002","JN171885","2009/07/04"
"9159","CY066567","2009/11/02"
"2916","HQ228052","2009/07/13"
"2899","HQ228029","2009/06/13"
"6673","KM219026","2009/10/15"
"6655","KM219030","2009/09/07"
"6632","KM219037","2009/08/07"
"6649","KM219057","2009/08/31"
"6661","KM219071","2009/09/10"
"6648","KM219050","2009/08/08"
"6651","KM219027","2009/09/03"
"10365","CY123696","2009/09/17"
"5557","CY055220","2009/07/15"
"5558","CY055222","2009/07/15"
"9971","KT181159","2009/09/02"
"9957","KT181138","2009/08/25"
"9760","JQ065172","2009/10/22"
"5937","CY050019","2009/09/02"
"5537","CY119442","2009/08/10"
"5545","CY119490","2009/09/15"
"2935","HQ228077","2009/07/17"
"5573","CY055264","2009/08/13"
"5562","CY055234","2009/07/22"
"705","KR861654","2009/10/20"
"3301","GQ365418","2009/06/23"
"9714","JQ065138","2009/08/31"
"6692","AB538394","2009/08/27"
"6693","AB538389","2009/08/27"
"2340","CY062357","2009/10/07"
"2341","CY062358","2009/10/07"
"2541","CY070194","2009/07/02"
"5570","CY055254","2009/08/12"
"13021","HM204574","2009/08/28"
"3540","CY069026","2009/07/22"
"4070","CY111699","2009/07/09"
"4069","JN256808","2009/07/09"
"4105","JN256848","2009/08/04"
"4106","CY112019","2009/08/04"
"4075","JN256816","2009/07/14"
"4076","CY111763","2009/07/14"
"4088","CY111835","2009/07/24"
